cluster,outlier_count,total,outlier_pct,mean_dist
0,0,33,0.0,0.0
1,0,64,0.0,0.1505
2,0,133,0.0,0.1741
3,0,115,0.0,0.1641
4,0,157,0.0,0.1622
ALL,0,502,0.0,0.0
