cluster,outlier_count,total,outlier_pct,mean_dist
0,0,33,0.0,0.0
1,0,167,0.0,0.0775
2,0,134,0.0,0.0681
3,0,168,0.0,0.0588
ALL,0,502,0.0,0.0
