cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,33,37,89.19,0.2748
2,11,239,4.6,0.1976
3,16,116,13.79,0.1971
4,20,77,25.97,0.3006
ALL,113,502,22.51,0.0
