cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,34,49,69.39,0.475
2,13,185,7.03,0.4852
3,6,159,3.77,0.3875
4,11,76,14.47,0.5909
ALL,97,502,19.32,0.0
