id_kabupaten,nama_kabupaten,frekuensi_gempa,mag_max,mag_mean,depth_mean,cluster_label,risk_score,risk_level,PC1,PC2
IDN.1.10_1,AcehTimur,0.02041649652919559,0.6246813388549571,0.4494651033458309,0.0218,2,0.32230948651565205,Sedang,-0.0979945256073037,0.05069809587841188
IDN.1.11_1,AcehUtara,0.00551245406288281,0.6470431053414505,0.5243252744800646,0.023259259259259257,2,0.32230948651565205,Sedang,-0.033241989125732285,0.013365379381026126
IDN.1.12_1,BandaAceh,0.0012249897917517355,0.6105284076884311,0.5817940949078131,0.014888888888888887,2,0.32230948651565205,Sedang,-0.023283484171071844,-0.02878968450493946
IDN.1.13_1,BenerMeriah,0.018783176806859946,0.6166185064550715,0.451778796816995,0.01371014492753623,2,0.32230948651565205,Sedang,-0.10348934374644447,0.04835935791533146
IDN.1.14_1,Bireuen,0.008574928542262147,0.6875590635976406,0.5422687649894049,0.036126984126984125,2,0.32230948651565205,Sedang,0.01016565228370081,0.018360709032268205
IDN.1.15_1,GayoLues,0.04512045732952226,0.6343311857558597,0.5143197624116189,0.028549019607843135,2,0.32230948651565205,Sedang,-0.04470146492035498,0.037392944914682334
IDN.1.16_1,Langsa,0.0002041649652919559,0.46384792499424093,0.5928396839002813,0.013333333333333332,1,0.1515872432311641,Rendah,-0.12366654995396698,-0.09428631165977862
IDN.1.17_1,Lhokseumawe,0.0002041649652919559,0.4268915498549366,0.545606087337448,0.026666666666666665,1,0.1515872432311641,Rendah,-0.1804693585651621,-0.09197348743499416
IDN.1.18_1,NaganRaya,0.0639036341363822,0.8942002207832269,0.5451975838674414,0.030943556975505857,0,0.4140255678027285,Tinggi,0.16821270936670574,0.1407043049747002
IDN.1.19_1,PidieJaya,0.031237239689669256,0.8255005824002299,0.5605130045411366,0.020226579520697167,0,0.4140255678027285,Tinggi,0.1235987610350856,0.0875312864917609
IDN.1.1_1,AcehBaratDaya,0.01796651694569212,0.7316618637152883,0.5200558594414482,0.056878787878787876,2,0.32230948651565205,Sedang,0.031122856893920026,0.04525764728009805
IDN.1.20_1,Pidie,0.09963250306247448,0.6801644847548644,0.5126259750119291,0.018612021857923496,2,0.32230948651565205,Sedang,-0.008137853929945038,0.09736430088324799
IDN.1.21_1,Sabang,0.013270722743977134,0.5938313897115156,0.49647100205810446,0.041846153846153845,2,0.32230948651565205,Sedang,-0.08771395518101688,0.0028417715754407527
IDN.1.22_1,Simeulue,0.21866067782768478,0.7770568551764211,0.6211047060613261,0.03275319016495487,0,0.4140255678027285,Tinggi,0.14804664550675561,0.15908933519423366
IDN.1.23_1,Subulussalam,0.0036749693752552064,0.8407993070367612,0.4741541172307521,0.07281481481481482,0,0.4140255678027285,Tinggi,0.08111747093475685,0.09622504888754888
IDN.1.2_1,AcehBarat,0.09779501837484689,0.7019424365948154,0.5370606414382187,0.028303409881697984,2,0.32230948651565205,Sedang,0.024996000820367015,0.08952790375341378
IDN.1.3_1,AcehBesar,0.03389138423846468,0.6409452801170444,0.5370574890773003,0.03910843373493976,2,0.32230948651565205,Sedang,-0.024609225524160006,0.01753159667104897
