,frekuensi_gempa,mag_max,mag_mean,depth_mean
frekuensi_gempa,1.0,0.350106220328806,0.015956579277816605,-0.0857881858346359
mag_max,0.350106220328806,1.0,0.756967679822906,0.17356063092426885
mag_mean,0.015956579277816605,0.756967679822906,1.0,0.3741380402599371
depth_mean,-0.0857881858346359,0.17356063092426885,0.3741380402599371,1.0
