k,sse
2,3.9761835742323726
3,2.4481139051077956
4,2.082583623800118
5,0.7506060610400066
6,0.6633556667589566
7,0.5637524445701665
8,0.542256274750984
9,0.5011943714442065
10,0.4371295020792857
