cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,33,33,100.0,0.2086
2,11,254,4.33,0.2035
3,15,96,15.62,0.1882
4,21,86,24.42,0.274
ALL,113,502,22.51,0.0
