cluster,outlier_count,total,outlier_pct,mean_dist
0,0,33,0.0,0.0
1,0,88,0.0,0.0589
2,0,78,0.0,0.0598
3,0,127,0.0,0.0616
4,0,176,0.0,0.056
ALL,0,502,0.0,0.0
