,frekuensi_gempa,depth_mean,mag_max,mag_mean
frekuensi_gempa,1.0,-0.11597645899167011,0.43024178685055176,-0.11265979146843438
depth_mean,-0.11597645899167011,1.0,-0.008027396821458619,0.32257087449240907
mag_max,0.43024178685055176,-0.008027396821458619,1.0,0.38979925098367246
mag_mean,-0.11265979146843438,0.32257087449240907,0.38979925098367246,1.0
