id_kabupaten,nama_kabupaten,frekuensi_gempa,depth_mean,mag_max,mag_mean,cluster_label,risk_score,risk_level,PC1,PC2
IDN.1.2_1,AcehBarat,0.14500683994528044,0.016955676830139012,0.6954937932867185,0.5284007946444117,0,0.5630064927519854,Tinggi,-0.20038060744006625,-0.10597529083840274
IDN.1.1_1,AcehBaratDaya,0.022343821249430004,0.0744001450530854,0.5758907864870849,0.524422533718211,1,0.33912118246933837,Rendah,-0.09091777834137427,-0.09200614362746307
IDN.1.3_1,AcehBesar,0.05471956224350205,0.03591641987495886,0.6409452801170444,0.5478916620412031,0,0.5630064927519854,Tinggi,-0.16446325655292293,-0.08641090838852594
IDN.1.4_1,AcehJaya,0.04240766073871409,0.07838953815452875,0.7433944549056153,0.555719101906122,0,0.5630064927519854,Tinggi,-0.1912381974980244,-0.020670693716860478
IDN.1.5_1,AcehSelatan,0.06292749658002736,0.05111807373707025,0.6406680933181503,0.5001701734450483,0,0.5630064927519854,Tinggi,-0.1309435743000643,-0.1090606595498077
IDN.1.6_1,AcehSingkil,0.013679890560875513,0.08884501480750245,0.6098998892778456,0.5282858484858323,0,0.5630064927519854,Tinggi,-0.09999208566680207,-0.0685951956638502
IDN.1.7_1,AcehTamiang,0.0013679890560875513,0.010858835143139189,0.42907712059695974,0.5433500536116259,1,0.33912118246933837,Rendah,-0.06743802270413923,-0.1635710944286095
IDN.1.8_1,AcehTengah,0.0506155950752394,0.0666204210133134,0.636272116972067,0.5323756166752989,0,0.5630064927519854,Tinggi,-0.13279067020157598,-0.07706111630463597
IDN.1.9_1,AcehTenggara,0.0506155950752394,0.06882598294246862,0.6085829243211042,0.5188197167977072,0,0.5630064927519854,Tinggi,-0.11028176197043715,-0.0928953027479974
IDN.1.10_1,AcehTimur,0.04103967168262654,0.017988373368432595,0.6246813388549571,0.4459349613059772,1,0.33912118246933837,Rendah,-0.11890666285784546,-0.16989826774381994
IDN.1.11_1,AcehUtara,0.006839945280437756,0.029680816057913787,0.5416232287740329,0.5065487309272559,1,0.33912118246933837,Rendah,-0.09529341296468374,-0.14251831931610337
