id_kabupaten,nama_kabupaten,PC1,PC2
IDN.1.10_1,AcehTimur,-0.21492899418816364,0.08910792867680709
IDN.1.11_1,AcehUtara,-0.19030216185839638,-0.029025692179264123
IDN.1.12_1,BandaAceh,-0.255022332791228,-0.16137271781494916
IDN.1.13_1,BenerMeriah,-0.20026011141327232,0.08268857131165011
IDN.1.14_1,Bireuen,-0.1159345517147522,0.005518830076218756
IDN.1.15_1,GayoLues,-0.10787548736635544,0.0904579455565597
IDN.1.16_1,Langsa,-0.12175077623017722,-0.1246102087383853
IDN.1.17_1,Lhokseumawe,-0.1977559516701317,-0.1580240256555115
IDN.1.18_1,NaganRaya,-0.08533230191589958,0.1025511476711399
IDN.1.19_1,PidieJaya,-0.04962400543378709,0.12258925213971686
IDN.1.1_1,AcehBaratDaya,-0.13469671801500932,-0.019364310326939915
IDN.1.20_1,Pidie,-0.0974231558250589,0.18459197437355077
IDN.1.21_1,Sabang,-0.3087895685220046,-0.0926002012261504
IDN.1.22_1,Simeulue,0.07083380207579493,0.12465980255604511
IDN.1.23_1,Subulussalam,-0.003144139400297119,0.23769048526657507
IDN.1.2_1,AcehBarat,-0.07582705082578345,0.17287539697353418
IDN.1.3_1,AcehBesar,-0.07784153802755522,0.07087345549574667
IDN.1.4_1,AcehJaya,0.009588446605696466,0.1422276442646697
IDN.1.5_1,AcehSelatan,-0.13106065101568626,0.07887163725636823
IDN.1.6_1,AcehSingkil,-0.1038660228241175,0.0021456098604409057
IDN.1.7_1,AcehTamiang,-0.22305579448309065,-0.14250991439919225
IDN.1.8_1,AcehTengah,-0.09024636531882935,0.052373460689202206
IDN.1.9_1,AcehTenggara,-0.12343621347684575,0.027672392945470442
IDN.10.10_1,Jepara,0.12204226456441725,-0.2427475528383365
IDN.10.11_1,Karanganyar,-0.13374514709410878,-0.26451045260801764
IDN.10.12_1,Kebumen,-0.13763083833389428,-0.06337057219254802
IDN.10.13_1,Kendal,-0.36917239800070906,-0.15770582701500385
IDN.10.14_1,Klaten,-0.319376464809996,-0.06327009111982984
IDN.10.17_1,KotaSemarang,0.4497869949336406,0.03304655645729884
