id_kabupaten,nama_kabupaten,frekuensi_gempa,depth_mean,mag_max,mag_mean,korban_total,rumah_rusak_total,fasum_rusak_total,cluster_label,risk_score,risk_level,PC1,PC2
IDN.1.2_1,AcehBarat,0.14500683994528044,0.016955676830139012,0.6954937932867185,0.5284007946444117,0.0,5.3843047516489434e-05,0.0,0,0.32713905858471043,Tinggi,-0.19975743741490093,-0.09494086602175233
IDN.1.1_1,AcehBaratDaya,0.022343821249430004,0.0744001450530854,0.5758907864870849,0.524422533718211,0.0,0.00011441647597254005,0.0,1,0.29140905136714823,Sedang,-0.0902911971979119,-0.07966675109402777
IDN.1.3_1,AcehBesar,0.05471956224350205,0.03591641987495886,0.6409452801170444,0.5478916620412031,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.1638242972563444,-0.07463672294364376
IDN.1.4_1,AcehJaya,0.04240766073871409,0.07838953815452875,0.7433944549056153,0.555719101906122,0.0,0.0,0.0001937984496124031,0,0.32713905858471043,Tinggi,-0.19058147005343862,-0.012662055618181789
IDN.1.5_1,AcehSelatan,0.06292749658002736,0.05111807373707025,0.6406680933181503,0.5001701734450483,0.00015647819737116627,0.018286445012787724,0.06279069767441861,0,0.32713905858471043,Tinggi,-0.1314457783775741,-0.11035079296827555
IDN.1.6_1,AcehSingkil,0.013679890560875513,0.08884501480750245,0.6098998892778456,0.5282858484858323,0.0011996661798456083,0.023879391573563065,0.03798449612403101,0,0.32713905858471043,Tinggi,-0.1002043253849687,-0.06783773372237445
IDN.1.7_1,AcehTamiang,0.0013679890560875513,0.010858835143139189,0.42907712059695974,0.5433500536116259,0.0,0.0,0.0,1,0.29140905136714823,Sedang,-0.06682069190269707,-0.1459496654388564
IDN.1.8_1,AcehTengah,0.0506155950752394,0.0666204210133134,0.636272116972067,0.5323756166752989,0.1281556436469852,0.09794050343249427,0.2936046511627907,0,0.32713905858471043,Tinggi,-0.13853414468438463,-0.14231587629916742
IDN.1.9_1,AcehTenggara,0.0506155950752394,0.06882598294246862,0.6085829243211042,0.5188197167977072,0.0,0.0,0.0,1,0.29140905136714823,Sedang,-0.10965658946590717,-0.08113543590415373
IDN.1.10_1,AcehTimur,0.04103967168262654,0.017988373368432595,0.6246813388549571,0.4459349613059772,0.0,0.00038363171355498723,0.0,1,0.29140905136714823,Sedang,-0.11832730302228078,-0.15617300601778833
IDN.1.11_1,AcehUtara,0.006839945280437756,0.029680816057913787,0.5416232287740329,0.5065487309272559,0.0,0.0,0.0,1,0.29140905136714823,Sedang,-0.09468189796698201,-0.12770915087214219
IDN.1.12_1,BandaAceh,0.00045599635202918376,0.00493583415597236,0.4036187531849018,0.5315833392673237,0.0,0.0,0.0,1,0.29140905136714823,Sedang,-0.05202678739293659,-0.16439666979779372
IDN.1.13_1,BenerMeriah,0.041951664386684906,0.005493798017082278,0.6166185064550715,0.4655477371196999,0.006363446693094096,0.034782608695652174,0.08313953488372093,1,0.29140905136714823,Sedang,-0.13405774457955477,-0.17336455229503583
IDN.1.14_1,Bireuen,0.012311901504787962,0.051734854301488054,0.5951363178908181,0.5350543856556,0.01418735656165241,0.005626598465473146,0.03217054263565891,1,0.29140905136714823,Sedang,-0.12161461336195467,-0.08814963564335332
IDN.1.15_1,GayoLues,0.10077519379844961,0.027466465362057945,0.6343311857558597,0.5299947745083364,0.0,0.00017498990442859066,0.0003875968992248062,1,0.29140905136714823,Sedang,-0.159536090210335,-0.0990244795163201
IDN.1.16_1,Langsa,0.00045599635202918376,0.00493583415597236,0.46384792499424093,0.6109077611854664,0.0,0.0001278772378516624,0.0,1,0.29140905136714823,Sedang,-0.12159610116448016,-0.09563424245956276
IDN.1.17_1,Lhokseumawe,0.00045599635202918376,0.024679170779861797,0.4268915498549366,0.5622346181544547,0.0,0.0,0.0,1,0.29140905136714823,Sedang,-0.06501901108436714,-0.12517350441973862
IDN.1.18_1,NaganRaya,0.084359325125399,0.028425068701475407,0.6550223651719946,0.5370277087589698,0.0,0.0010970520931484723,0.0015503875968992248,0,0.32713905858471043,Tinggi,-0.17240211393994886,-0.08654377203633445
IDN.1.20_1,Pidie,0.20884632922936616,0.012716777956435336,0.6801644847548644,0.5217725765478038,0.004642186522011266,0.008473549602907525,0.031395348837209305,0,0.32713905858471043,Tinggi,-0.19467696677801882,-0.12042528988006629
IDN.1.19_1,PidieJaya,0.04696762425900593,0.0133123760051371,0.6850196386546784,0.5533028108664086,0.036511579386605465,0.055377574370709386,0.15833333333333333,0,0.32713905858471043,Tinggi,-0.2081950590204663,-0.11079575477682546
IDN.1.21_1,Sabang,0.007751937984496124,0.02340166076302189,0.45810518400827194,0.4535002641328481,0.0,2.019114281868354e-05,0.0011627906976744186,1,0.29140905136714823,Sedang,-0.03011096425969284,-0.18993800685042295
IDN.1.22_1,Simeulue,0.03556771545827633,0.0269825600526489,0.7213520486734403,0.6308778261934476,0.012048821197579804,0.12492260061919505,0.3812015503875969,0,0.32713905858471043,Tinggi,-0.25823947088350196,-0.08424430013049855
IDN.1.23_1,Subulussalam,0.008207934336525308,0.09301305253921245,0.8407993070367612,0.48860499403247265,5.2159399123722096e-05,0.02267465338538161,0.047286821705426356,0,0.32713905858471043,Tinggi,-0.19829403137467794,-0.028087080392960706
IDN.2.1_1,Badung,0.005015959872321021,0.14188279637440546,0.42633637002578034,0.42631078719461907,0.00015647819737116627,0.0001951810472472742,0.004457364341085271,1,0.29140905136714823,Sedang,0.08293484494164532,-0.14094533568664247
IDN.2.2_1,Bangli,0.0196078431372549,0.07693014072866686,0.5884558576916348,0.46777548328201823,0.00020863759649488838,0.0016825952348902948,0.045542635658914726,1,0.29140905136714823,Sedang,-0.06832736706542919,-0.11885186333346431
IDN.2.3_1,Buleleng,0.060191518467852256,0.032172664453019834,0.7097616743680234,0.477880697135837,0.00015647819737116627,0.0006124646655000673,0.0027131782945736434,0,0.32713905858471043,Tinggi,-0.16884079008834962,-0.10529511151207027
IDN.2.4_1,Denpasar,0.00364797081623347,0.14091806515301086,0.42022389571281665,0.43789706569802384,0.005007302315877321,0.0005115089514066496,0.006395348837209302,1,0.29140905136714823,Sedang,0.0798443479661407,-0.13632310336663506
