id_kabupaten,nama_kabupaten,frekuensi_gempa,seismic_density,mag_p95,mag_std,b_value,depth_std,depth_skew,shallow_ratio,event_concentration,centroid_lat,centroid_lon,cluster_label,risk_score,risk_level,PC1,PC2
IDN.1.2_1,AcehBarat,0.09779501837484689,0.0065297678179932275,0.7143314928870317,0.48004668481775603,0.015366030749948852,0.05518398141277934,0.2784771203582909,0.9603340292275574,0.012526096033402923,0.910341128537191,0.6831950306669764,1,0.35717696212353406,Tinggi,0.16074278118115903,-0.09251363011690836
IDN.1.1_1,AcehBaratDaya,0.01796651694569212,0.0017845318347601226,0.6656343134748143,0.44785610003957915,0.025194481789302472,0.05811469262481957,0.13408377915146386,0.875,0.022727272727272728,0.8699991500901298,0.6879825897665529,1,0.35717696212353406,Tinggi,0.0534674721269186,-0.07518318433798286
IDN.1.3_1,AcehBesar,0.03389138423846468,0.0021838085787459823,0.6880025456224961,0.46958317141412886,0.008552515479532601,0.09268706190302246,0.21141439532553508,0.8614457831325302,0.012048192771084338,0.9733097254591081,0.6785748306863227,2,0.34662297755864696,Sedang,0.056676602477900406,-0.12309750516933636
IDN.1.4_1,AcehJaya,0.043078807676602694,0.002090292264618069,0.740942272819891,0.5806263940009256,0.006786372122840854,0.07140253692619361,0.1726738430387027,0.8341232227488151,0.009478672985781991,0.9316078824128293,0.6784272424807569,2,0.34662297755864696,Sedang,0.09629450591243449,-0.1658206006397499
IDN.1.5_1,AcehSelatan,0.05532870559412005,0.0024710162718907694,0.646172815863495,0.43368622568336407,0.01568931008533372,0.07375673997236755,0.26557452214468885,0.9446494464944649,0.007380073800738007,0.8352961836429205,0.6911572431262463,1,0.35717696212353406,Tinggi,0.12012965194517666,-0.07456552667532668
IDN.1.6_1,AcehSingkil,0.061249489587586775,0.006044730036669729,0.7259172846434078,0.5593325252455347,0.011327028458652456,0.11152034111404027,0.488218406853072,0.9666666666666667,0.01,0.7772305009102275,0.6929683932710966,1,0.35717696212353406,Tinggi,0.2532508114763319,-0.13533621010208258
IDN.1.7_1,AcehTamiang,0.0012249897917517355,0.00010583885930165067,0.8975448525557915,0.9696085138391505,0.011413778851164035,0.2713430539501425,0.16136623171605394,0.6666666666666666,0.16666666666666666,0.9527558810163684,0.7040891206332951,2,0.34662297755864696,Sedang,0.17469953276695804,-0.275898370604832
IDN.1.8_1,AcehTengah,0.022662311147407105,0.0009042640918370591,0.6991082059380118,0.4671983122227069,0.013690141509208342,0.13572916059287338,0.17224315002338042,0.7657657657657657,0.02702702702702703,0.9244019923879755,0.6869342733267957,2,0.34662297755864696,Sedang,-7.054533354922121e-05,-0.13848892840351149
IDN.1.9_1,AcehTenggara,0.022662311147407105,0.0010204089561161162,0.6653461069647478,0.4896075212265142,0.012086053501141437,0.10361071946813365,0.160308584115862,0.7387387387387387,0.009009009009009009,0.8527390076078702,0.6943328972417562,2,0.34662297755864696,Sedang,-0.011870331660096989,-0.15361039991475584
IDN.1.10_1,AcehTimur,0.02041649652919559,0.0007060786507627635,0.6065879763901714,0.48767185110750333,0.007001510209295743,0.08352699347504458,0.2661105915093889,0.94,0.04,0.9108387008828176,0.6931507837452855,1,0.35717696212353406,Tinggi,0.10526221790769452,-0.0754640643374978
IDN.1.11_1,AcehUtara,0.00551245406288281,0.0003811616007814044,0.6443508623807039,0.49354423318969093,0.012010147239544796,0.08683833222436428,0.31971588646859345,0.9629629629629629,0.037037037037037035,0.9591995711276531,0.6893791917853677,1,0.35717696212353406,Tinggi,0.13568285839118355,-0.08239761902293993
IDN.1.12_1,BandaAceh,0.0012249897917517355,0.00389247305544668,0.6990263232191847,0.566147508670705,0.024846876665788265,0.004917804677935484,0.18950872386823395,1.0,0.3333333333333333,0.9888360272045505,0.6773602834159088,1,0.35717696212353406,Tinggi,0.14104492878900077,0.1702926122509507
IDN.1.13_1,BenerMeriah,0.018783176806859946,0.0018274689404581838,0.6004032957126927,0.44269232157816035,0.02445725078034482,0.050322934682530074,0.4233491611207507,0.9782608695652174,0.043478260869565216,0.939984487484876,0.6879647468542008,1,0.35717696212353406,Tinggi,0.12602471355029432,-0.0499952519716028
IDN.1.14_1,Bireuen,0.008574928542262147,0.0009083748601814394,0.6950196406136694,0.5073573013621245,0.0171677014558403,0.10992486434088057,0.2404573291586487,0.9047619047619048,0.023809523809523808,0.9642128135053316,0.6865270849529106,1,0.35717696212353406,Tinggi,0.1092281368821808,-0.11695041908979362
IDN.1.15_1,GayoLues,0.04512045732952226,0.0015568472202856752,0.6631106790888539,0.41701120089669313,0.00821240745044204,0.08483398185432758,0.2173462028728945,0.8868778280542986,0.02262443438914027,0.8898959018456152,0.6923143176146023,1,0.35717696212353406,Tinggi,0.06526115521868348,-0.07681535307162979
IDN.1.16_1,Langsa,0.0002041649652919559,0.00019528402673231308,0.546301344615348,0.0,0.08558343647778685,0.0,0.11997798621653939,1.0,1.0,0.9210734949876057,0.6958561224891994,1,0.35717696212353406,Tinggi,-0.17661617299849175,0.9586766004728853
IDN.1.17_1,Lhokseumawe,0.0002041649652919559,0.0002770287423585086,0.5027756191721182,0.0,0.08558343647778685,0.0,0.11997798621653939,1.0,1.0,0.9635387463139091,0.6895912878176829,1,0.35717696212353406,Tinggi,-0.20251222306728223,0.9552358316781413
IDN.1.18_1,NaganRaya,0.0639036341363822,0.003509406120987789,0.723512363793946,0.5258502811064114,0.005094543309567202,0.06406510601346195,0.23137361026039333,0.9297124600638977,0.009584664536741214,0.8923083482279587,0.685077160263623,1,0.35717696212353406,Tinggi,0.15501057621636916,-0.11649179843670428
IDN.1.20_1,Pidie,0.09963250306247448,0.006279556525332738,0.6869147026645023,0.530277881559155,0.008913286091467791,0.052962084557339736,0.4033219723067428,0.9795081967213115,0.010245901639344262,0.9477649595348199,0.6824161057614662,1,0.35717696212353406,Tinggi,0.19297206673599776,-0.11979076301484333
IDN.1.19_1,PidieJaya,0.031237239689669256,0.006058293100392135,0.7060086408117104,0.4392189647723793,0.011394476234409333,0.052744186121110835,0.35052126040886245,0.9738562091503268,0.0196078431372549,0.9646582442746358,0.6835516975108376,1,0.35717696212353406,Tinggi,0.15040220252228598,-0.07229451311400228
IDN.1.21_1,Sabang,0.013270722743977134,0.01989616451653396,0.6107430635438956,0.3877981470171012,0.02684490439683013,0.14236706427286258,0.22364067067097687,0.8769230769230769,0.03076923076923077,0.9999999999999999,0.6771132622415129,1,0.35717696212353406,Tinggi,0.006206685190043748,-0.08222266461756211
IDN.1.22_1,Simeulue,0.21866067782768478,0.02246342765942435,0.7465449156163733,0.4538403903333749,0.0022287590490746995,0.0892111007570312,0.5801111749342748,0.9607843137254902,0.0028011204481792717,0.7932790544515652,0.6830331605283383,1,0.35717696212353406,Tinggi,0.23657768535854107,-0.12002630458713187
