feature,count,mean,std,min,25%,50%,75%,max
frekuensi_gempa,123008.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
depth_mean,123008.0,49.95178362382934,79.52905185482372,0.0,10.0,17.0,55.0,750.0
mag_max,123008.0,3.5061514173929016,0.8425549307229389,0.191152961,2.89279005975,3.4424849220000002,4.092780019,7.902198116
mag_mean,123008.0,3.5061514173929016,0.8425549307229389,0.191152961,2.89279005975,3.4424849220000002,4.092780019,7.902198116
