cluster,outlier_count,total,outlier_pct,mean_dist
0,0,33,0.0,0.0
1,0,55,0.0,0.131
2,0,131,0.0,0.1535
3,0,123,0.0,0.1507
4,0,160,0.0,0.1329
ALL,0,502,0.0,0.0
