,frekuensi_gempa,depth_mean,mag_max,mag_mean
frekuensi_gempa,1.0,-0.16344541084209308,0.2851375503510606,-0.20710094393123538
depth_mean,-0.16344541084209308,1.0,0.06790488356788761,0.37375626599497536
mag_max,0.2851375503510606,0.06790488356788761,1.0,0.4516010008935934
mag_mean,-0.20710094393123538,0.37375626599497536,0.4516010008935934,1.0
