cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,33,33,100.0,0.1987
2,15,66,22.73,0.2498
3,13,307,4.23,0.1897
4,19,63,30.16,0.2634
ALL,113,502,22.51,0.0
