id_kabupaten,nama_kabupaten,PC1,PC2
IDN.1.2_1,AcehBarat,-0.19975743741490093,-0.09494086602175233
IDN.1.1_1,AcehBaratDaya,-0.0902911971979119,-0.07966675109402777
IDN.1.3_1,AcehBesar,-0.1638242972563444,-0.07463672294364376
IDN.1.4_1,AcehJaya,-0.19058147005343862,-0.012662055618181789
IDN.1.5_1,AcehSelatan,-0.1314457783775741,-0.11035079296827555
IDN.1.6_1,AcehSingkil,-0.1002043253849687,-0.06783773372237445
IDN.1.7_1,AcehTamiang,-0.06682069190269707,-0.1459496654388564
IDN.1.8_1,AcehTengah,-0.13853414468438463,-0.14231587629916742
IDN.1.9_1,AcehTenggara,-0.10965658946590717,-0.08113543590415373
IDN.1.10_1,AcehTimur,-0.11832730302228078,-0.15617300601778833
IDN.1.11_1,AcehUtara,-0.09468189796698201,-0.12770915087214219
IDN.1.12_1,BandaAceh,-0.05202678739293659,-0.16439666979779372
IDN.1.13_1,BenerMeriah,-0.13405774457955477,-0.17336455229503583
IDN.1.14_1,Bireuen,-0.12161461336195467,-0.08814963564335332
IDN.1.15_1,GayoLues,-0.159536090210335,-0.0990244795163201
IDN.1.16_1,Langsa,-0.12159610116448016,-0.09563424245956276
IDN.1.17_1,Lhokseumawe,-0.06501901108436714,-0.12517350441973862
IDN.1.18_1,NaganRaya,-0.17240211393994886,-0.08654377203633445
IDN.1.20_1,Pidie,-0.19467696677801882,-0.12042528988006629
IDN.1.19_1,PidieJaya,-0.2081950590204663,-0.11079575477682546
IDN.1.21_1,Sabang,-0.03011096425969284,-0.18993800685042295
IDN.1.22_1,Simeulue,-0.25823947088350196,-0.08424430013049855
IDN.1.23_1,Subulussalam,-0.19829403137467794,-0.028087080392960706
IDN.2.1_1,Badung,0.08293484494164532,-0.14094533568664247
IDN.2.2_1,Bangli,-0.06832736706542919,-0.11885186333346431
IDN.2.3_1,Buleleng,-0.16884079008834962,-0.10529511151207027
IDN.2.4_1,Denpasar,0.0798443479661407,-0.13632310336663506
IDN.2.5_1,Gianyar,-0.09286134290328818,-0.002404505766227971
IDN.2.6_1,Jembrana,-0.05582695418821876,-0.10816835781818113
IDN.2.7_1,Karangasem,-0.15406672391496967,-0.18375252959972926
IDN.2.8_1,Klungkung,0.014292875614443479,-0.0890447090392914
IDN.2.9_1,Tabanan,-0.04368932099061895,-0.11669495499002591
IDN.3.4_1,Bangka,-0.3613460025880407,0.21634013492291015
IDN.3.1_1,BangkaBarat,-0.3831414391334841,0.1438080087917899
IDN.3.2_1,BangkaSelatan,-0.3577743872572975,0.13791506380687857
IDN.3.3_1,BangkaTengah,-0.4007168884078448,0.18037499472343144
IDN.3.6_1,Belitung,0.07289742536397742,0.5937900336980323
IDN.3.5_1,BelitungTimur,-0.24392880811915463,0.27193503059086355
IDN.3.7_1,Pangkalpinang,1.1141971613309207,0.011953058692627305
IDN.4.1_1,Cilegon,0.08100224255024002,0.13133921901077494
IDN.4.2_1,KotaSerang,-0.020277449021817606,-0.0010277777884560857
IDN.4.3_1,KotaTangerang,1.1141971613309207,0.011953058692627305
IDN.4.4_1,Lebak,-0.12393115199110816,-0.010826060264964243
IDN.4.5_1,Pandeglang,-0.12274177723030999,-0.013297565715435833
IDN.4.6_1,Serang,-0.037869263274593445,0.09012856235245503
IDN.4.8_1,Tangerang,0.1725006703820575,0.16986879916945563
IDN.4.7_1,TangerangSelatan,1.1141971613309207,0.011953058692627305
IDN.5.4_1,Bengkulu,-0.021662488676569558,-0.0854919664761018
IDN.5.1_1,BengkuluSelatan,-0.13077670993557045,0.05973070470996089
IDN.5.2_1,BengkuluTengah,-0.10955544134340212,-0.031421096579856034
IDN.5.3_1,BengkuluUtara,-0.1532760317666404,-0.042990946836533483
IDN.5.5_1,Kaur,-0.11659733705275,-0.019275273175994312
IDN.5.6_1,Kepahiang,-0.15829420602780486,-0.05847379558975474
IDN.5.7_1,Lebong,-0.11126453934982083,-0.0988577472605926
IDN.5.8_1,Mukomuko,-0.2608747260913957,0.019591291849487158
IDN.5.9_1,RejangLebong,-0.10952424986881404,-0.0831725345762171
IDN.5.10_1,Seluma,-0.14671379568969867,-0.02141408750110585
IDN.6.1_1,Boalemo,-0.11865679812111507,-0.05185546676164199
IDN.6.2_1,BoneBolango,-0.07232001968445162,-0.0034677537890368537
IDN.6.3_1,DanauLimboto,1.1141971613309207,0.011953058692627305
IDN.6.5_1,Gorontalo,-0.13039626045771813,-0.10031479062343351
IDN.6.4_1,GorontaloUtara,-0.11429173139383142,-0.0973138619874041
IDN.6.6_1,KotaGorontalo,-0.1272607711450907,0.00816255018512857
IDN.6.7_1,Pohuwato,-0.1303653103740019,-0.05400949116276377
IDN.7.1_1,JakartaBarat,1.1141971613309207,0.011953058692627305
IDN.7.2_1,JakartaPusat,1.1141971613309207,0.011953058692627305
IDN.7.3_1,JakartaSelatan,1.1141971613309207,0.011953058692627305
IDN.7.4_1,JakartaTimur,0.09891823617484202,0.38524023815491193
IDN.7.5_1,JakartaUtara,1.1141971613309207,0.011953058692627305
IDN.7.6_1,KepulauanSeribu,1.1141971613309207,0.011953058692627305
IDN.8.1_1,BatangHari,-0.16641929674623313,0.09987230393555824
IDN.8.2_1,Bungo,-0.003683068231134623,0.07008604261279971
IDN.8.3_1,Jambi,-0.3401895486705725,0.12052783643152198
IDN.8.4_1,Kerinci,-0.1293202790467668,0.016277554498272617
IDN.8.5_1,Merangin,-0.03205852211321991,0.10176433550351094
IDN.8.6_1,MuaroJambi,-0.3087141352591092,0.06385635426114622
IDN.8.7_1,Sarolangun,-0.07701220641796214,0.14819179623244438
IDN.8.8_1,SungaiPenuh,-0.03757171347268462,0.06397857183590572
IDN.8.9_1,TanjungJabungB,-0.20797069512518662,0.19048655430577843
IDN.8.10_1,TanjungJabungT,0.055543401682746296,0.37802607154590373
IDN.8.11_1,Tebo,-0.25495471701401684,0.12106873037671673
IDN.9.2_1,Bandung,-0.12604419696437918,-0.15045126827886957
IDN.9.1_1,BandungBarat,-0.17605382199429076,-0.11392629463825132
IDN.9.3_1,Banjar,1.1140193898223796,0.009651497564084788
IDN.9.4_1,Bekasi,0.01566706298983661,0.07857686058095303
IDN.9.5_1,Bogor,-0.11546551873354938,-0.13545015501488045
IDN.9.6_1,Ciamis,-0.08979352887809411,-0.0839399999076178
IDN.9.7_1,Cianjur,-0.13940600317184215,-0.39170602789180486
IDN.9.8_1,Cimahi,-0.01901346392763159,-0.2029582670274419
IDN.9.9_1,Cirebon,-0.0046689751735059515,-0.21857844537404636
IDN.9.10_1,Depok,0.303583230750861,0.14341308608153402
IDN.9.11_1,Garut,-0.21157612127209235,-0.1784270599801206
IDN.9.12_1,Indramayu,-0.006949593675080801,0.13176342039181732
IDN.9.13_1,Karawang,-0.09046493732837246,-0.10274668377927665
IDN.9.14_1,KotaBandung,-0.04624895500144066,-0.2806642329138941
IDN.9.15_1,KotaBekasi,0.17892578413588728,0.17434906218885848
IDN.9.16_1,KotaBogor,-0.05292379298321792,-0.2075739566199778
IDN.9.17_1,KotaCirebon,1.1141971613309207,0.011953058692627305
IDN.9.18_1,KotaSukabumi,-0.038223579033990096,-0.04205346760742956
