id_kabupaten,nama_kabupaten,luas_wilayah_km2,frekuensi_gempa,mag_max,mag_mean,depth_mean,korban_total,rumah_rusak_total,fasum_rusak_total,cluster_label,risk_score,risk_level,PC1,PC2
IDN.14.4_1,GunungMas,0.22653524186432417,0.00364797081623347,0.7716300376795058,0.9357727469030459,0.2517023346303502,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.46447660805441726,0.11765595120862682
IDN.14.5_1,Kapuas,0.38804959768019637,0.002279981760145919,0.7963439079385389,0.9678050642993278,0.10428015564202335,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.5042803966433799,0.009818315677162771
IDN.14.6_1,Katingan,0.4357762556016998,0.002279981760145919,0.6745289779824093,0.7954663285790723,0.5626459143968872,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.4000729285370185,0.3276681426568555
IDN.14.7_1,KotawaringinBarat,0.18828990793315353,0.00045599635202918376,0.646965310278485,0.8520812705409798,0.5175097276264592,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.3666889657067417,0.3292990647220902
IDN.14.8_1,KotawaringinTimur,0.35235637180247636,0.002279981760145919,0.7053942415988904,0.8764782543907035,0.6054474708171206,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.4696872453651554,0.36474875582477434
IDN.14.9_1,Lamandau,0.16435492542509797,0.001823985408116735,0.7294365432738286,0.9106908115147538,0.019455252918287938,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.36282749044488216,-0.025256936417856576
IDN.14.10_1,MurungRaya,0.5360156619157997,0.005015959872321021,0.7804379718743059,0.9286586443654684,0.04421648390519986,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.4821166826670066,-0.039135580493180264
IDN.14.11_1,PalangkaRaya,0.05824572240156361,0.00045599635202918376,0.5577181179596739,0.7345388616744302,0.027237354085603113,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.10787140424776454,0.013097922912627846
IDN.14.12_1,PulangPisau,0.21834183971210222,0.004559963520291838,0.7515394921541347,0.8880411893301113,0.26284046692607005,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.4187408534043028,0.12293925071432621
IDN.14.13_1,Seruyan,0.3734848564915211,0.002279981760145919,0.7453462906826468,0.8922519080349336,0.43035019455252915,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.4777543367670912,0.2339631689905607
IDN.14.14_1,Sukamara,0.07364601772437805,0.00045599635202918376,0.7592765298874975,1.0,0.019455252918287938,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.4278791926556934,-0.014252627626944667
IDN.34.1_1,Balikpapan,0.012068471920264128,0.00045599635202918376,0.7150732497529805,0.941782369934355,0.019455252918287938,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.34677593481630276,-0.007215630472581863
IDN.34.2_1,Berau,0.4947911070385254,0.013679890560875513,0.8274173342682111,0.6784055197286746,0.06523994811932556,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.33832250381895,-0.09573020485699614
IDN.34.3_1,Bontang,0.0035066394821540157,0.0,0.0,0.0,0.0,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,1,0.00632521236662306,Rendah,-0.7891769802524727,0.056478675668052744
