cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,36,53,67.92,0.5242
2,5,226,2.21,0.4483
3,16,91,17.58,0.4484
4,23,99,23.23,0.5309
ALL,113,502,22.51,0.0
