cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,36,52,69.23,0.5213
2,21,313,6.71,0.4658
3,23,104,22.12,0.5148
ALL,113,502,22.51,0.0
