,count,mean,std,min,25%,50%,75%,max
frekuensi_gempa,502.0,245.0358565737052,544.4066545314881,0.0,5.25,28.0,209.0,4898.0
mag_max,502.0,5.088014739027889,1.6804179961454841,0.0,4.6634618485,5.4713218265000005,6.128830675,7.902198116
mag_mean,502.0,3.462847763711156,1.22393105085111,0.0,3.054916901702362,3.462743638040099,4.029193677700549,6.1828151835
depth_mean,502.0,64.6917516597052,77.48921550708428,0.0,20.249099059115924,38.3903743315508,84.0693641618497,750.0
