id_kabupaten,nama_kabupaten,frekuensi_gempa,mag_max,mag_mean,depth_mean,cluster_label,risk_score,risk_level,PC1,PC2
IDN.1.10_1,AcehTimur,100.0,4.936355699,2.77895966542,16.35,0,0.32755760277329876,Sedang,-0.0979945256073037,0.05069809587841188
IDN.1.11_1,AcehUtara,27.0,5.113062808,3.241806268148148,17.444444444444443,0,0.32755760277329876,Sedang,-0.033241989125732285,0.013365379381026126
IDN.1.12_1,BandaAceh,6.0,4.824516433,3.5971253636666667,11.166666666666666,0,0.32755760277329876,Sedang,-0.023283484171071844,-0.02878968450493946
IDN.1.13_1,BenerMeriah,92.0,4.8726416,2.7932648045434783,10.282608695652174,0,0.32755760277329876,Sedang,-0.10348934374644447,0.04835935791533146
IDN.1.14_1,Bireuen,42.0,5.433227937,3.352747553714286,27.095238095238095,0,0.32755760277329876,Sedang,0.01016565228370081,0.018360709032268205
IDN.1.15_1,GayoLues,221.0,5.012610701,3.1799440362126696,21.41176470588235,0,0.32755760277329876,Sedang,-0.04470146492035498,0.037392944914682334
IDN.1.16_1,Langsa,1.0,3.665418199,3.665418199,10.0,1,0.14613294364826168,Rendah,-0.12366654995396698,-0.09428631165977862
IDN.1.17_1,Lhokseumawe,1.0,3.373381601,3.373381601,20.0,1,0.14613294364826168,Rendah,-0.1804693585651621,-0.09197348743499416
IDN.1.18_1,NaganRaya,313.0,7.0661473,3.3708558995431313,23.207667731629392,2,0.4079116697611709,Tinggi,0.16821270936670574,0.1407043049747002
IDN.1.19_1,PidieJaya,153.0,6.523269147,3.465548315026144,15.169934640522875,2,0.4079116697611709,Tinggi,0.1235987610350856,0.0875312864917609
IDN.1.1_1,AcehBaratDaya,88.0,5.781737001,3.2154092640227274,42.65909090909091,2,0.4079116697611709,Tinggi,0.031122856893920026,0.04525764728009805
IDN.1.20_1,Pidie,488.0,5.37479451,3.1694716617602463,13.959016393442623,0,0.32755760277329876,Sedang,-0.008137853929945038,0.09736430088324799
IDN.1.21_1,Sabang,65.0,4.692573289,3.069588449692308,31.384615384615383,0,0.32755760277329876,Sedang,-0.08771395518101688,0.0028417715754407527
IDN.1.22_1,Simeulue,1071.0,6.140457217,3.840175607179271,24.564892623716155,2,0.4079116697611709,Tinggi,0.14804664550675561,0.15908933519423366
IDN.1.23_1,Subulussalam,18.0,6.6441627,2.931607275333333,54.611111111111114,2,0.4079116697611709,Tinggi,0.08111747093475685,0.09622504888754888
IDN.1.2_1,AcehBarat,479.0,5.5468882,3.320546688344468,21.227557411273487,0,0.32755760277329876,Sedang,0.024996000820367015,0.08952790375341378
IDN.1.3_1,AcehBesar,166.0,5.064876585,3.320527197879518,29.33132530120482,0,0.32755760277329876,Sedang,-0.024609225524160006,0.01753159667104897
IDN.1.4_1,AcehJaya,211.0,5.874450261,3.578148371957346,44.0,2,0.4079116697611709,Tinggi,0.08128615321525412,0.037994201935879685
IDN.1.5_1,AcehSelatan,271.0,5.437384127,3.0512360960738008,30.66789667896679,0,0.32755760277329876,Sedang,-0.01667453083406234,0.07141719237964606
IDN.1.6_1,AcehSingkil,300.0,7.7315511,3.4813400550933338,30.996666666666666,2,0.4079116697611709,Tinggi,0.24271503218670876,0.16078868583080405
IDN.1.7_1,AcehTamiang,6.0,6.0610825,4.602319937,84.0,2,0.4079116697611709,Tinggi,0.21074241871757848,-0.08078733599948676
IDN.1.8_1,AcehTengah,111.0,5.027948324,3.1942289786576574,41.24324324324324,0,0.32755760277329876,Sedang,-0.04077795061859124,0.01168865369593386
IDN.1.9_1,AcehTenggara,111.0,4.809142838,3.112894208873874,42.36036036036036,0,0.32755760277329876,Sedang,-0.06960411006535394,0.006074153887939113
IDN.10.10_1,Jepara,73.0,6.539773691,4.593715238890411,320.13698630136986,2,0.4079116697611709,Tinggi,0.2930901951738888,-0.16951279701771677
IDN.10.11_1,Karanganyar,3.0,3.645192434,3.1857761823333335,158.0,1,0.14613294364826168,Rendah,-0.15340497534946218,-0.13513136479063584
IDN.10.12_1,Kebumen,123.0,5.017900738,3.5645704138536582,39.796747967479675,0,0.32755760277329876,Sedang,-0.001972326028993221,-0.015204164456623696
IDN.10.13_1,Kendal,12.0,7.89469772,3.326657142,63.166666666666664,2,0.4079116697611709,Tinggi,0.240637221159821,0.1251098072886786
IDN.10.14_1,Klaten,8.0,3.778510623,2.6193850041249997,13.75,1,0.14613294364826168,Rendah,-0.22466304132593407,-0.008170995659093612
IDN.10.15_1,KotaMagelang,0.0,0.0,0.0,0.0,1,0.14613294364826168,Rendah,-0.8581945212779137,0.005407658173843699
IDN.10.16_1,KotaPekalongan,1.0,3.747676564,3.747676564,557.0,1,0.14613294364826168,Rendah,-0.020178655903174025,-0.38220335730320915
IDN.10.17_1,KotaSemarang,1.0,5.706508748,5.706508748,10.0,2,0.4079116697611709,Tinggi,0.28445869632844356,-0.14696763783898698
IDN.10.18_1,KotaTegal,0.0,0.0,0.0,0.0,1,0.14613294364826168,Rendah,-0.8581945212779137,0.005407658173843699
