cluster,outlier_count,total,outlier_pct,mean_dist
0,0,37,0.0,0.0252
1,0,120,0.0,0.1637
2,0,157,0.0,0.1574
3,0,188,0.0,0.1371
ALL,0,502,0.0,0.0
