cluster_label,risk_score,risk_level,count
0,0.0037072912997534336,Sangat Rendah,34
1,0.1868827562266771,Rendah,69
2,0.23327953468063875,Sedang,128
3,0.24104427508619128,Tinggi,110
4,0.3473326638648171,Sangat Tinggi,161
