cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,34,34,100.0,0.2631
2,6,253,2.37,0.2043
3,11,96,11.46,0.1925
4,13,86,15.12,0.3525
ALL,97,502,19.32,0.0
