id_kabupaten,nama_kabupaten,frekuensi_gempa,seismic_density,mag_p95,mag_std,b_value,depth_std,depth_skew,shallow_ratio,event_concentration,centroid_lat,centroid_lon,cluster_label,risk_score,risk_level
IDN.1.2_1,AcehBarat,479.0,0.16924766355352397,4.792819347699999,0.7318694406100705,0.3111952615831871,22.905307904801166,4.06496735059797,0.9603340292275574,0.012526096033402923,4.341429420958247,96.15298184849688,2,0.40494091256738873,Tinggi
IDN.1.1_1,AcehBaratDaya,88.0,0.046253994320866264,4.466084790999999,0.682792327863298,0.4076084454231659,24.12176313280849,0.3617659367368061,0.875,0.022727272727272728,3.677311300931818,96.8267837096591,2,0.40494091256738873,Tinggi
IDN.1.3_1,AcehBesar,166.0,0.056603007932752004,4.6161648265,0.7159169802687688,0.2443573948905788,38.47177454993219,2.345035004112855,0.8614457831325302,0.012048192771084338,5.378031685355421,95.50273413746989,2,0.40494091256738873,Tinggi
IDN.1.4_1,AcehJaya,211.0,0.054179121186477004,4.971364830000001,0.885211225533667,0.22703223312758372,29.637170997952968,1.3514707108892223,0.8341232227488151,0.009478672985781991,4.691527188758294,95.48196254895736,2,0.40494091256738873,Tinggi
IDN.1.5_1,AcehSelatan,271.0,0.06404725899561622,4.3355075405,0.6611892247764907,0.31436650289774704,30.614334012699626,3.734059293843103,0.9446494464944649,0.007380073800738007,3.106023780501845,97.2735849496679,2,0.40494091256738873,Tinggi
IDN.1.6_1,AcehSingkil,300.0,0.15667577531609256,4.8705544153,0.8527470250562726,0.27157426038150995,46.288935402439215,9.444122803341306,0.9666666666666667,0.01,2.1501343189799997,97.52848652123333,2,0.40494091256738873,Tinggi
IDN.1.7_1,AcehTamiang,6.0,0.0027432797228431425,6.0220925125,1.4782454771115068,0.2724252471247841,112.62681741041962,1.0614686797190656,0.6666666666666666,0.16666666666666666,5.039669982333334,99.09361953333332,1,0.299195162306965,Sedang
IDN.1.8_1,AcehTengah,111.0,0.0234379826426671,4.690678444,0.712281072309062,0.29475545669267167,56.33733078780748,1.3404248900089022,0.7657657657657657,0.02702702702702703,4.5729023141081075,96.67924348018019,2,0.40494091256738873,Tinggi
IDN.1.9_1,AcehTenggara,111.0,0.026448387830245845,4.4641510645,0.7464456979107509,0.2790199932510762,43.00587545330665,1.0343435917083412,0.7387387387387387,0.009009009009009009,3.39317121118018,97.72052703621621,2,0.40494091256738873,Tinggi
IDN.1.10_1,AcehTimur,100.0,0.01830113493428141,4.069912384199999,0.7434946145015531,0.22914265193084213,34.66968955351884,3.7478076621036682,0.94,0.04,4.34962056139,97.55415618679999,2,0.40494091256738873,Tinggi
IDN.1.11_1,AcehUtara,27.0,0.00987947997030002,4.3232831124999995,0.752447529135618,0.2782753831060371,36.04413249309084,5.122602388953477,0.9629629629629629,0.037037037037037035,5.145747361962963,97.02334170925926,0,0.17115232769754612,Rendah
IDN.1.12_1,BandaAceh,6.0,0.10089056585810757,4.6901290505,0.8631370105824507,0.4041985778313243,2.041241452319315,1.783228532746154,1.0,0.3333333333333333,5.633628924833334,95.33179855333333,2,0.40494091256738873,Tinggi
IDN.1.13_1,BenerMeriah,92.0,0.04736689833548113,4.028416163600001,0.6749197359393946,0.4003765033282657,20.887625069212906,7.7804457909232205,0.9782608695652174,0.043478260869565216,4.829424620336956,96.82427249521739,2,0.40494091256738873,Tinggi
IDN.1.14_1,Bireuen,42.0,0.02354453129142288,4.66324614515,0.7735066527504506,0.3288689324689344,45.62669817691495,3.0898881443931043,0.9047619047619048,0.023809523809523808,5.228276410642857,96.62193572095238,2,0.40494091256738873,Tinggi
IDN.1.15_1,GayoLues,221.0,0.040352545739387,4.449152423,0.6357668201463805,0.2410210708042233,35.21218341657566,2.4971658289316325,0.8868778280542986,0.02262443438914027,4.004855806162896,97.43643180493213,2,0.40494091256738873,Tinggi
IDN.1.16_1,Langsa,1.0,0.005061644789680359,3.665418199,0.0,1.0,0.0,0.0,1.0,1.0,4.518107891,97.93490601,0,0.17115232769754612,Rendah
IDN.1.17_1,Lhokseumawe,1.0,0.00718041876652181,3.373381601,0.0,1.0,0.0,0.0,1.0,1.0,5.217179775,97.05319214,0,0.17115232769754612,Rendah
