cluster,outlier_count,total,outlier_pct,mean_dist
0,0,39,0.0,0.0579
1,0,80,0.0,0.161
2,0,137,0.0,0.1375
3,0,110,0.0,0.1489
4,0,136,0.0,0.1641
ALL,0,502,0.0,0.0
