cluster,outlier_count,total,outlier_pct,mean_dist
0,0,108,0.0,0.0877
1,0,136,0.0,0.0581
2,0,129,0.0,0.0662
3,0,129,0.0,0.0636
ALL,0,502,0.0,0.0
