cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,35,49,71.43,0.4729
2,20,185,10.81,0.4699
3,6,159,3.77,0.3869
4,19,76,25.0,0.4999
ALL,113,502,22.51,0.0
