cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,34,49,69.39,0.4832
2,22,272,8.09,0.5091
3,24,148,16.22,0.5497
ALL,113,502,22.51,0.0
