id_kabupaten,nama_kabupaten,PC1,PC2
IDN.1.2_1,AcehBarat,-0.19648555276897994,-0.0988560653604938
IDN.1.1_1,AcehBaratDaya,-0.0854061656233761,-0.09660404915668697
IDN.1.3_1,AcehBesar,-0.1608869097415978,-0.08316804110243659
IDN.1.4_1,AcehJaya,-0.18997051214788685,-0.01643197162204557
IDN.1.5_1,AcehSelatan,-0.13126984319637247,-0.09913573938208148
IDN.1.6_1,AcehSingkil,-0.0953956015564652,-0.0848714780766564
IDN.1.7_1,AcehTamiang,-0.062123606003261334,-0.15852233471353022
IDN.1.8_1,AcehTengah,-0.13928249524236846,-0.1199488950289812
IDN.1.9_1,AcehTenggara,-0.10960533536439143,-0.07443975450377416
IDN.1.10_1,AcehTimur,-0.1205371742479373,-0.12968943159282326
IDN.1.11_1,AcehUtara,-0.09122871844303693,-0.1339425998922707
IDN.1.12_1,BandaAceh,-0.04276451167119588,-0.19579646141691848
IDN.1.13_1,BenerMeriah,-0.1286379225761306,-0.17945844105896108
IDN.1.14_1,Bireuen,-0.11629050055795176,-0.10668067645754276
IDN.1.15_1,GayoLues,-0.16194266928068202,-0.07834230646010387
IDN.1.16_1,Langsa,-0.11269455201290335,-0.13519121671723205
IDN.1.17_1,Lhokseumawe,-0.0560895085099688,-0.1598184716911954
IDN.1.18_1,NaganRaya,-0.17049057555169855,-0.08765197841534067
IDN.1.20_1,Pidie,-0.19172505422288322,-0.1172450537410823
IDN.1.19_1,PidieJaya,-0.20077031176992732,-0.1337382563629711
IDN.1.21_1,Sabang,-0.02104091309716033,-0.21395190744370268
IDN.1.22_1,Simeulue,-0.25260806588935614,-0.1011724053534922
IDN.1.23_1,Subulussalam,-0.19183010738117556,-0.05410308558681398
IDN.2.1_1,Badung,0.09061375375191999,-0.16086341749774707
IDN.2.2_1,Bangli,-0.0604642174934259,-0.14263734132400846
IDN.2.3_1,Buleleng,-0.16243383379308152,-0.12332680534595208
IDN.2.4_1,Denpasar,0.08811131967546354,-0.15988478112425475
IDN.2.5_1,Gianyar,-0.08516268547832306,-0.04080054253645926
IDN.2.6_1,Jembrana,-0.04872764317257272,-0.13152817760364338
IDN.2.7_1,Karangasem,-0.14645208859032122,-0.19159050198071498
IDN.2.8_1,Klungkung,0.02216240636492245,-0.11743049891177859
IDN.2.9_1,Tabanan,-0.036673769359705566,-0.13622826920015862
IDN.3.4_1,Bangka,-0.3591874827025815,0.1656219675435714
IDN.3.1_1,BangkaBarat,-0.3801580874094238,0.09820339918356791
IDN.3.2_1,BangkaSelatan,-0.3563798608552875,0.09942594532490145
IDN.3.3_1,BangkaTengah,-0.3963888398102702,0.12238912483627362
IDN.3.6_1,Belitung,0.07241609683108008,0.5275961012623851
IDN.3.5_1,BelitungTimur,-0.24161363587385454,0.21941624497998402
IDN.3.7_1,Pangkalpinang,1.116890910262157,0.027125579700263525
IDN.4.1_1,Cilegon,0.08772622338371061,0.08276445257480747
IDN.4.2_1,KotaSerang,-0.012566222371074132,-0.041691125515437744
IDN.4.3_1,KotaTangerang,1.1167335349059218,0.027846533102867332
IDN.4.4_1,Lebak,-0.12247734597473092,-0.01711603187277544
IDN.4.5_1,Pandeglang,-0.12007424450091209,-0.02662986686995905
IDN.4.6_1,Serang,-0.03327045404044893,0.05635889905265834
IDN.4.8_1,Tangerang,0.17667281810985014,0.13295735054484425
IDN.4.7_1,TangerangSelatan,1.1167698995003912,0.027679942991529094
IDN.5.4_1,Bengkulu,-0.013303172080778913,-0.11900049429184234
IDN.5.1_1,BengkuluSelatan,-0.1251227500990979,0.0238858436636048
IDN.5.2_1,BengkuluTengah,-0.10300039562730934,-0.06334900288659517
IDN.5.3_1,BengkuluUtara,-0.1534211833760527,-0.03694400119947927
IDN.5.5_1,Kaur,-0.11330877740843226,-0.03630645727682824
IDN.5.6_1,Kepahiang,-0.1506961929794376,-0.09144018428103406
IDN.5.7_1,Lebong,-0.1056764111149846,-0.11803034379010902
IDN.5.8_1,Mukomuko,-0.2610207410746864,0.017628404738912695
IDN.5.9_1,RejangLebong,-0.10367764872059182,-0.10528033278369558
IDN.5.10_1,Seluma,-0.14314589114827825,-0.038735576114999115
IDN.6.1_1,Boalemo,-0.11400611168390484,-0.06168133927499986
IDN.6.2_1,BoneBolango,-0.06802556825915768,-0.023526785641237002
IDN.6.3_1,DanauLimboto,1.1170655035590251,0.02632574906311491
IDN.6.5_1,Gorontalo,-0.12588931327155573,-0.10840841069508628
IDN.6.4_1,GorontaloUtara,-0.10887048337512895,-0.11262249575605565
IDN.6.6_1,KotaGorontalo,-0.11883690348734599,-0.034839463579702135
IDN.6.7_1,Pohuwato,-0.13109682070650908,-0.03612814405627607
IDN.7.1_1,JakartaBarat,1.1168548748518083,0.027290661783802794
IDN.7.2_1,JakartaPusat,1.117020417605064,0.02653229265860202
IDN.7.3_1,JakartaSelatan,1.1168119285238252,0.027487403522976073
IDN.7.4_1,JakartaTimur,0.10406241901601543,0.3161929323064715
IDN.7.5_1,JakartaUtara,1.1168220239504933,0.02744115528957236
IDN.7.6_1,KepulauanSeribu,1.1171046147625114,0.026146576440997826
IDN.8.1_1,BatangHari,-0.16967442430189128,0.09468989128256311
IDN.8.2_1,Bungo,-0.005894670578130645,0.0687312680432347
IDN.8.3_1,Jambi,-0.33144544849323054,0.05085025436965174
IDN.8.4_1,Kerinci,-0.12801146952463038,0.004564533220605793
IDN.8.5_1,Merangin,-0.040277588685899424,0.128340485307318
IDN.8.6_1,MuaroJambi,-0.3112113871640876,0.05507830816124515
IDN.8.7_1,Sarolangun,-0.08200734732923332,0.15415818891366362
IDN.8.8_1,SungaiPenuh,-0.030307082493044535,0.016750753227174675
IDN.8.9_1,TanjungJabungB,-0.21043167004448426,0.1706241128442365
IDN.8.10_1,TanjungJabungT,0.0507417906479673,0.3563856655028408
IDN.8.11_1,Tebo,-0.2595149129252802,0.11899712439722943
IDN.9.2_1,Bandung,-0.1205537307480482,-0.15668359801147153
IDN.9.1_1,BandungBarat,-0.16946358674393625,-0.13127414124619347
IDN.9.3_1,Banjar,1.1166735110187924,0.025427245226594564
IDN.9.4_1,Bekasi,0.020519630178860215,0.04578868071525444
IDN.9.5_1,Bogor,-0.11269183183614717,-0.1327001855712614
IDN.9.6_1,Ciamis,-0.08699209486950743,-0.08062295074724302
IDN.9.7_1,Cianjur,-0.13706801933416302,-0.3333497406237458
IDN.9.8_1,Cimahi,-0.009715909473773987,-0.22703921516546127
IDN.9.9_1,Cirebon,0.0024837181437168954,-0.231989670823827
IDN.9.10_1,Depok,0.309119755104158,0.10582761359027304
IDN.9.11_1,Garut,-0.20862490520017907,-0.16296253899410035
