,frekuensi_gempa,depth_mean,mag_max,mag_mean,korban_total,rumah_rusak_total,fasum_rusak_total
frekuensi_gempa,1.0,-0.18820928757854635,0.2540985258240273,-0.01352161197677229,0.03994305468686508,0.06551280464319725,0.07154108857779855
depth_mean,-0.18820928757854635,1.0,-0.7650135563297383,-0.6360339128603779,-0.07073955668872155,-0.0920281720923745,-0.09377798368624278
mag_max,0.2540985258240273,-0.7650135563297383,1.0,0.835726367675214,0.04499454007724826,0.05026090269740869,0.06349294177268174
mag_mean,-0.01352161197677229,-0.6360339128603779,0.835726367675214,1.0,-0.039786145878477,-0.05217903978222408,-0.03284368788187572
korban_total,0.03994305468686508,-0.07073955668872155,0.04499454007724826,-0.039786145878477,1.0,0.621792500768362,0.36529530718077263
rumah_rusak_total,0.06551280464319725,-0.0920281720923745,0.05026090269740869,-0.05217903978222408,0.621792500768362,1.0,0.7795922014223056
fasum_rusak_total,0.07154108857779855,-0.09377798368624278,0.06349294177268174,-0.03284368788187572,0.36529530718077263,0.7795922014223056,1.0
