feature,count,mean,std,min,25%,50%,75%,max
frekuensi_gempa,502.0,73.5996015936255,191.84877673202269,0.0,3.0,14.5,59.0,2193.0
depth_mean,502.0,111.71581720119384,152.16976721047786,7.5,21.594585561497325,47.36130536130536,111.20017482517483,514.0
mag_max,502.0,4.48574521596016,1.7608103033625597,0.0,4.088706166250001,4.9719383845,5.5747064945,7.902198116
mag_mean,502.0,3.212694986621306,1.345022672957679,0.0,2.859188299543269,3.2869244162464284,3.8680933215,5.999953564
korban_total,502.0,186.63545816733068,1332.0002969202737,0.0,0.0,0.0,2.0,19172.0
rumah_rusak_total,502.0,3106.2211155378486,13413.917013520737,0.0,0.0,0.0,139.75,148580.0
fasum_rusak_total,502.0,111.94820717131473,437.86047744841073,0.0,0.0,0.0,13.5,5160.0
