cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,36,50,72.0,0.5129
2,5,211,2.37,0.4125
3,16,108,14.81,0.4549
4,23,100,23.0,0.5377
ALL,113,502,22.51,0.0
