id_kabupaten,nama_kabupaten,PC1,PC2
IDN.1.2_1,AcehBarat,-0.10821847100954074,-0.09323061652127929
IDN.1.1_1,AcehBaratDaya,-0.09215880543797861,-0.06987715769836467
IDN.1.3_1,AcehBesar,-0.06135694212417164,-0.09258414857813857
IDN.1.4_1,AcehJaya,-0.12770283519060976,-0.028431879687579653
IDN.1.5_1,AcehSelatan,-0.06784950285748692,-0.11298485329147223
IDN.1.6_1,AcehSingkil,-0.2677541249662355,-0.0002453587265122126
IDN.1.7_1,AcehTamiang,-0.18211907200333433,0.13195049824695948
IDN.1.8_1,AcehTengah,-0.037456202047704834,-0.09549652107221784
IDN.1.9_1,AcehTenggara,-0.014280668162598431,-0.10973217130849056
IDN.1.10_1,AcehTimur,-0.020535851810109196,-0.16687470397233062
IDN.1.11_1,AcehUtara,-0.06721877458466163,-0.10781319582018534
IDN.1.12_1,BandaAceh,-0.07914921238116446,-0.08186647824032167
IDN.1.13_1,BenerMeriah,-0.02230020124780363,-0.17250095484281402
IDN.1.14_1,Bireuen,-0.0906956870541582,-0.07783513682946508
IDN.1.15_1,GayoLues,-0.054517971800865705,-0.11818452335112084
IDN.1.16_1,Langsa,-0.0013600226891928857,-0.10823654589224319
IDN.1.17_1,Lhokseumawe,0.05138335222592294,-0.13979387504021323
IDN.1.18_1,NaganRaya,-0.21804253498411907,-0.03890699684145715
IDN.1.20_1,Pidie,-0.09060558302925747,-0.12179198155522042
IDN.1.19_1,PidieJaya,-0.1907697467548337,-0.04769527644252325
IDN.1.21_1,Sabang,-0.011531741527237127,-0.12693508236444462
IDN.1.22_1,Simeulue,-0.1975347985835919,-0.02863257913196271
IDN.1.23_1,Subulussalam,-0.12098570835678535,-0.0643160966224382
IDN.2.1_1,Badung,-0.1346934746872268,-0.05284250309567906
IDN.2.2_1,Bangli,0.025703811670199195,-0.14300133993777325
IDN.2.3_1,Buleleng,-0.11676811946211729,-0.107540068520389
IDN.2.4_1,Denpasar,-0.0502493723274543,-0.05982276407232756
IDN.2.5_1,Gianyar,-0.0010746518245070558,-0.08211885148437292
IDN.2.6_1,Jembrana,0.026142737771193247,-0.1234713667783735
IDN.2.7_1,Karangasem,-0.10456242844737718,-0.13708786694923208
IDN.2.8_1,Klungkung,-0.08093676048592224,-0.04960880981197313
IDN.2.9_1,Tabanan,0.058362218549337874,-0.1350381983918355
IDN.3.4_1,Bangka,-0.21192865230927815,0.2875932660864148
IDN.3.1_1,BangkaBarat,-0.2240056416166355,0.08716271849420909
IDN.3.2_1,BangkaSelatan,-0.19970190153085254,0.1428846396340122
IDN.3.3_1,BangkaTengah,-0.30249765031885056,0.1650789556169019
IDN.3.6_1,Belitung,-0.19987183034923073,0.20584446763089503
IDN.3.5_1,BelitungTimur,-0.2069933827909255,0.24699308288361677
IDN.3.7_1,Pangkalpinang,1.2069494237256047,0.06066977412849206
IDN.4.1_1,Cilegon,0.07919687099421768,0.05215826591485473
IDN.4.2_1,KotaSerang,0.09723985672229685,0.006466766732405871
IDN.4.3_1,KotaTangerang,1.2069494237256047,0.06066977412849206
IDN.4.4_1,Lebak,-0.11382245920567824,-0.04114298126047944
IDN.4.5_1,Pandeglang,-0.24783442991047488,-0.013417465038189857
IDN.4.6_1,Serang,0.005030161174179648,0.030689296893765206
IDN.4.8_1,Tangerang,0.18226509741788216,0.08060440771469324
IDN.4.7_1,TangerangSelatan,1.2069494237256047,0.06066977412849206
IDN.5.4_1,Bengkulu,-0.119819483725782,-0.016832621932375336
IDN.5.1_1,BengkuluSelatan,-0.14598724589711964,-0.015406839449585097
IDN.5.2_1,BengkuluTengah,-0.014823056696038006,-0.06563170171105048
IDN.5.3_1,BengkuluUtara,-0.27028766206123933,0.018059424238728528
IDN.5.5_1,Kaur,-0.1940696196998507,-0.013963968511368496
IDN.5.6_1,Kepahiang,-0.058733491996432075,-0.07716816626087675
IDN.5.7_1,Lebong,-0.0067789858915641155,-0.12178692945871539
IDN.5.8_1,Mukomuko,-0.21105015514608383,0.007059930570891493
IDN.5.9_1,RejangLebong,-0.00814497375391765,-0.10840285452213172
IDN.5.10_1,Seluma,-0.19548688048942608,-0.004291786637806272
IDN.6.1_1,Boalemo,-0.024216449723942657,-0.06928477151938495
IDN.6.2_1,BoneBolango,-0.07790992616499759,0.007194296282209578
IDN.6.3_1,DanauLimboto,1.2069494237256047,0.06066977412849206
IDN.6.5_1,Gorontalo,-0.032331766019339625,-0.11293024484237402
IDN.6.4_1,GorontaloUtara,-0.09985876981206054,-0.002521932430982199
IDN.6.6_1,KotaGorontalo,-0.05546791708730492,-0.04957769463531203
IDN.6.7_1,Pohuwato,-0.03141248613296577,-0.060408486203113565
IDN.7.1_1,JakartaBarat,1.2069494237256047,0.06066977412849206
IDN.7.2_1,JakartaPusat,1.2069494237256047,0.06066977412849206
IDN.7.3_1,JakartaSelatan,1.2069494237256047,0.06066977412849206
IDN.7.4_1,JakartaTimur,0.0826642775734513,0.2762572532907913
IDN.7.5_1,JakartaUtara,1.2069494237256047,0.06066977412849206
IDN.7.6_1,KepulauanSeribu,-0.01846263459699793,0.16932401279287068
IDN.8.1_1,BatangHari,-0.0847707889913244,0.058187187088130865
IDN.8.2_1,Bungo,0.055070592190641754,0.014140265584358436
IDN.8.3_1,Jambi,-0.22592914901297934,0.10044951195307761
IDN.8.4_1,Kerinci,-0.04974425505762514,-0.022432034899822595
IDN.8.5_1,Merangin,0.01656905409667031,0.042607219603689184
IDN.8.6_1,MuaroJambi,-0.1960323553639961,0.04267101857523292
IDN.8.7_1,Sarolangun,-0.03870881160669126,0.07693009223301517
IDN.8.8_1,SungaiPenuh,0.03547909673676919,0.018122038037534205
IDN.8.9_1,TanjungJabungB,-0.13888409934156165,0.1389118623289919
IDN.8.10_1,TanjungJabungT,0.13166378903580545,0.3492159239570991
IDN.8.11_1,Tebo,-0.17017823947524036,0.08004911531010828
IDN.9.2_1,Bandung,-0.023848986061793642,-0.1707766824193474
IDN.9.1_1,BandungBarat,-0.07887985413185561,-0.12335031691297371
IDN.9.3_1,Banjar,1.2069494237256047,0.06066977412849206
IDN.9.4_1,Bekasi,0.06688098294878275,0.07960687025751123
IDN.9.5_1,Bogor,-0.01507158996097857,-0.15938760094161553
IDN.9.6_1,Ciamis,-0.14450107576856763,-0.018963371535145046
IDN.9.7_1,Cianjur,-0.10654463246500889,-0.14458284039800284
IDN.9.8_1,Cimahi,0.09736264900608566,-0.2173568267232895
IDN.9.9_1,Cirebon,-0.035136647076904004,-0.1476584874995135
IDN.9.10_1,Depok,0.30098117867356466,0.047197711480242655
IDN.9.11_1,Garut,-0.22410965002875494,-0.050578354162667094
IDN.9.12_1,Indramayu,-0.020968555076238626,0.1755723678326384
IDN.9.13_1,Karawang,-0.0483031450532706,-0.050545807790646546
IDN.9.14_1,KotaBandung,0.07579138161046406,-0.1664261856120125
IDN.9.15_1,KotaBekasi,0.1917409032954075,0.0876169113097971
IDN.9.16_1,KotaBogor,0.06283824715568848,-0.21672990762509547
IDN.9.17_1,KotaCirebon,1.2069494237256047,0.06066977412849206
IDN.9.18_1,KotaSukabumi,0.051364400424693535,-0.07613827692440867
IDN.9.19_1,KotaTasikmalaya,0.11537768203145476,-0.1784867163199816
IDN.9.20_1,Kuningan,0.011562239337411073,-0.11243959180453011
IDN.9.21_1,Majalengka,0.03429326613835848,-0.00857264086533438
IDN.9.22_1,Purwakarta,0.07857506335415798,-0.20787712073587522
IDN.9.23_1,Subang,-0.09441864865001581,0.05734893683470477
IDN.9.24_1,Sukabumi,-0.1544512304936001,-0.0943147706985078
IDN.9.25_1,Sumedang,-0.07184830112256158,-0.09597843770445902
IDN.9.26_1,Tasikmalaya,-0.24715685330586512,0.01970592801477944
IDN.9.27_1,WadukCirata,-0.006540718516917399,-0.1513839818289619
IDN.10.1_1,Banjarnegara,0.0325957864040779,-0.1900155784073823
IDN.10.2_1,Banyumas,0.04260982483140596,-0.0416045177095804
IDN.10.3_1,Batang,-0.04275232600467649,-0.09562641831852248
IDN.10.4_1,Blora,-0.006240154128469566,-0.03429167776265318
IDN.10.5_1,Boyolali,-0.05377663578148517,-0.10418523149110803
IDN.10.6_1,Brebes,-0.000498171082614185,-0.012551348395572703
IDN.10.7_1,Cilacap,-0.1607724829919175,-0.033526383838842544
IDN.10.8_1,Demak,0.08374602032477879,-0.13087219719689103
IDN.10.9_1,Grobogan,0.004757465989450038,-0.11217579656075127
IDN.10.10_1,Jepara,-0.007236737705942686,0.3602469383385982
IDN.10.11_1,Karanganyar,0.16889596713846217,-0.026060810034157944
IDN.10.12_1,Kebumen,-0.06694939996898186,-0.05624117204168744
IDN.10.13_1,Kendal,-0.23464815556540342,0.023160139311273586
IDN.10.14_1,Klaten,0.07488804734556875,-0.21791482517704952
IDN.10.15_1,KotaMagelang,1.2069494237256047,0.06066977412849206
IDN.10.16_1,KotaPekalongan,0.4725892356792425,0.4061604301828211
IDN.10.17_1,KotaSemarang,-0.30785593066371864,0.17658186983559676
