cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,38,56,67.86,0.3412
2,23,349,6.59,0.2161
3,19,64,29.69,0.2949
ALL,113,502,22.51,0.0
