cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,37,55,67.27,0.3378
2,20,300,6.67,0.2021
3,7,83,8.43,0.1917
4,16,31,51.61,0.269
ALL,113,502,22.51,0.0
