cluster,outlier_count,total,outlier_pct,mean_dist
0,0,50,0.0,0.0605
1,0,71,0.0,0.0607
2,0,138,0.0,0.0557
3,0,110,0.0,0.0627
4,0,133,0.0,0.0593
ALL,0,502,0.0,0.0
