id_kabupaten,nama_kabupaten,frekuensi_gempa,depth_mean,mag_max,mag_mean,cluster_label,risk_score,risk_level,PC1,PC2
IDN.1.10_1,AcehTimur,0.02021645905656524,0.011919191919191921,0.49107176961491084,0.21828816596803785,1,0.4469950571347103,Rendah,-0.22893421371025746,0.06277123167302187
IDN.1.11_1,AcehUtara,0.005309373085562589,0.013393191170968948,0.5213940941471771,0.32458312025510166,1,0.4469950571347103,Rendah,-0.13045238672591752,0.016472125564281292
IDN.1.12_1,BandaAceh,0.0010210332856851131,0.004938271604938271,0.4718805410429894,0.40618386398497436,1,0.4469950571347103,Rendah,-0.10141597386131573,-0.057995481918043046
IDN.1.13_1,BenerMeriah,0.01858280579946906,0.003747621138925487,0.48013865210712026,0.22157341015096493,1,0.4469950571347103,Rendah,-0.23454540964917747,0.05559778440910343
IDN.1.14_1,Bireuen,0.008372472942617929,0.026390893057559726,0.5763333153273102,0.3500613214740204,1,0.4469950571347103,Rendah,-0.07445103225567695,0.03487138962220471
IDN.1.15_1,GayoLues,0.044925464570144985,0.018736383442265796,0.5041568624045428,0.3103761603748331,1,0.4469950571347103,Rendah,-0.1476018645420385,0.03198933312087912
IDN.1.16_1,Langsa,0.0,0.0033670033670033673,0.27298332058014574,0.4218676429456559,1,0.4469950571347103,Rendah,-0.21568637597763513,-0.1897801056738428
IDN.1.17_1,Lhokseumawe,0.0,0.016835016835016835,0.22287085736365464,0.3548000299360989,1,0.4469950571347103,Rendah,-0.29654031817588583,-0.18837640030433433
IDN.1.18_1,NaganRaya,0.06371247702675106,0.02115510805606652,0.8565365914722872,0.3542199904169186,0,0.5661366389891969,Tinggi,0.11074243143225904,0.23560681601829342
IDN.1.19_1,PidieJaya,0.031039411884827443,0.010329878303734512,0.763380590958786,0.37596656026483494,0,0.5661366389891969,Tinggi,0.06373913197934655,0.1525993440836082
IDN.1.1_1,AcehBaratDaya,0.01776597917092097,0.04735231098867462,0.6361362570473537,0.31852092096426005,1,0.4469950571347103,Rendah,-0.05697227931886906,0.0880096940479218
IDN.1.20_1,Pidie,0.09944864202573003,0.008699011977700502,0.5663063427450896,0.30797112908123364,1,0.4469950571347103,Rendah,-0.10604699989504307,0.10200488396688573
IDN.1.21_1,Sabang,0.01306922605676945,0.032167832167832165,0.4492395570168428,0.2850324677661748,1,0.4469950571347103,Rendah,-0.20297934097656578,-0.008091996758551392
IDN.1.22_1,Simeulue,0.21850112313661424,0.022983020368641284,0.6976913968908597,0.462001524461152,0,0.5661366389891969,Tinggi,0.10720927773483446,0.15682192731797528
IDN.1.23_1,Subulussalam,0.0034715131713293854,0.06344930789375235,0.7841255036488847,0.25334442569237986,1,0.4469950571347103,Rendah,-0.012097573472917622,0.20323963462771494
IDN.1.2_1,AcehBarat,0.09761078211149683,0.018488292809795942,0.5958370206429167,0.34266623746062636,1,0.4469950571347103,Rendah,-0.06001752195815113,0.09808913722420506
IDN.1.3_1,AcehBesar,0.03369409842760874,0.029402458318120973,0.5131255060860701,0.34266176138136234,1,0.4469950571347103,Rendah,-0.1172145774838117,0.011651748604900647
IDN.1.4_1,AcehJaya,0.042883397998774754,0.04915824915824916,0.6520455295948683,0.40182570632678144,1,0.4469950571347103,Rendah,0.01890243843361472,0.06525307722941551
IDN.1.5_1,AcehSelatan,0.05513579742699612,0.031202554449786923,0.5770465030576225,0.2808177612577098,1,0.4469950571347103,Rendah,-0.12132446790413343,0.09486356278175634
IDN.1.6_1,AcehSingkil,0.061057790483969775,0.031645342312008974,0.9707175663226154,0.3795932095232742,0,0.5661366389891969,Tinggi,0.20328134074594562,0.2885618791306015
IDN.1.7_1,AcehTamiang,0.0010210332856851131,0.10303030303030304,0.6840709718714523,0.6370316450689972,0,0.5661366389891969,Tinggi,0.2201030831018952,-0.0769917280519406
IDN.1.8_1,AcehTengah,0.022462732285072493,0.045445445445445445,0.5067887450989711,0.31365676629315103,1,0.4469950571347103,Rendah,-0.14229074612251102,0.013351935339319387
IDN.1.9_1,AcehTenggara,0.022462732285072493,0.04694998028331362,0.46924248567863136,0.2949778441942153,1,0.4469950571347103,Rendah,-0.18001796759155042,-0.00027248613476651973
IDN.10.10_1,Jepara,0.014702879313865632,0.42105991421059913,0.7662127132330804,0.6350555346539666,0,0.5661366389891969,Tinggi,0.31175518954107795,-0.10347637944405344
IDN.10.11_1,Karanganyar,0.00040841331427404526,0.2026936026936027,0.26951264974118505,0.3117155408556174,1,0.4469950571347103,Rendah,-0.2763571513774275,-0.18597520326894953
IDN.10.12_1,Kebumen,0.024913212170716764,0.043497303659905284,0.5050646143314995,0.3987074627717114,1,0.4469950571347103,Rendah,-0.07892775312131806,-0.031702088989354574
IDN.10.13_1,Kendal,0.002246273228507249,0.0749719416386083,0.9987129581660886,0.3440695326088669,0,0.5661366389891969,Tinggi,0.19377625285640898,0.28371036410302175
IDN.10.14_1,Klaten,0.0014294465999591585,0.008417508417508419,0.29238958670081805,0.18164107548979497,1,0.4469950571347103,Rendah,-0.38470100317980943,-0.049180928931159426
IDN.10.16_1,KotaPekalongan,0.0,0.7400673400673402,0.2870985695542184,0.4407586731398197,1,0.4469950571347103,Rendah,-0.1001511674108545,-0.3889135711822768
IDN.10.17_1,KotaSemarang,0.0,0.0033670033670033673,0.6232273508105286,0.890613930209954,0,0.5661366389891969,Tinggi,0.36120636186279964,-0.22485401486941428
IDN.10.19_1,Kudus,0.0,0.0033670033670033673,0.3788616899041295,0.5635691088908996,1,0.4469950571347103,Rendah,-0.04129236184635554,-0.20038290826551544
IDN.10.1_1,Banjarnegara,0.008780886256891975,0.01900826446280992,0.40241288363415373,0.1882861459222676,1,0.4469950571347103,Rendah,-0.30800044559745005,0.016293182214775048
IDN.10.20_1,Magelang,0.0008168266285480906,0.09252525252525254,0.3528565146248872,0.27373091831530033,1,0.4469950571347103,Rendah,-0.26616700222625667,-0.08412349804813987
IDN.10.21_1,Pati,0.0028588931999183175,0.1801571268237935,0.5510700073907461,0.4666833039275174,1,0.4469950571347103,Rendah,0.01667523516848146,-0.08756103622311937
IDN.10.22_1,Pekalongan,0.0008168266285480906,0.005252525252525253,0.18827442221572277,0.1998645282990113,1,0.4469950571347103,Rendah,-0.43722902785087,-0.1229618076781563
IDN.10.23_1,Pemalang,0.0014294465999591585,0.33164983164983164,0.5952498461880458,0.5084972341666683,0,0.5661366389891969,Tinggi,0.09516073451652673,-0.12405277840611026
IDN.10.24_1,Purbalingga,0.00040841331427404526,0.03973063973063973,0.2092636480216432,0.16473461790112692,1,0.4469950571347103,Rendah,-0.44629269377696756,-0.10051960271495267
IDN.10.25_1,Purworejo,0.005105166428425566,0.08396788396788397,0.559388293406865,0.2840290795875385,1,0.4469950571347103,Rendah,-0.12832467965465344,0.04278485624034711
IDN.10.26_1,Rembang,0.001837859914233204,0.2505050505050505,0.63871567994082,0.5391627034586324,0,0.5661366389891969,Tinggi,0.13578166859065033,-0.09162665432749487
IDN.10.27_1,Salatiga,0.00020420665713702266,0.009427609427609429,0.23486557423016685,0.3023183583765689,1,0.4469950571347103,Rendah,-0.32963379665512443,-0.15062465545387047
IDN.10.28_1,Semarang,0.00694302634265877,0.020452140452140458,0.29758099704527397,0.25470572245509254,1,0.4469950571347103,Rendah,-0.32399630549179226,-0.08570968514421445
IDN.10.29_1,Sragen,0.00020420665713702266,0.15218855218855218,0.4732888429288056,0.46880671042680416,1,0.4469950571347103,Rendah,-0.034696852740176753,-0.13073694666106672
IDN.10.2_1,Banyumas,0.0034715131713293854,0.14388327721661054,0.497168529706674,0.28519172164161605,1,0.4469950571347103,Rendah,-0.1594692478906139,-0.013302552675718282
