cluster,outlier_count,total,outlier_pct,mean_dist
0,0,45,0.0,0.0423
1,0,144,0.0,0.0612
2,0,178,0.0,0.0797
3,0,135,0.0,0.0669
ALL,0,502,0.0,0.0
