cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,38,57,66.67,0.3527
2,15,350,4.29,0.207
3,10,61,16.39,0.3113
4,1,1,100.0,0.0
ALL,97,502,19.32,0.0
