cluster,outlier_count,total,outlier_pct,mean_dist
0,0,49,0.0,0.0901
1,0,157,0.0,0.189
2,0,131,0.0,0.1789
3,0,165,0.0,0.1659
ALL,0,502,0.0,0.0
