k,sse
2,1.6582081405336737
3,1.4030775556082664
4,1.2790687585378915
5,1.2758362741501765
6,1.1162723620370898
7,1.1705247321909111
8,1.1452007709869334
9,1.122334226997936
10,0.5280403201312477
