id_kabupaten,nama_kabupaten,frekuensi_gempa,depth_mean,mag_max,mag_mean,cluster_label,risk_score,risk_level,PC1,PC2
IDN.1.2_1,AcehBarat,0.09779501837484689,0.018488292809795942,0.7019424365948154,0.5370606414382187,1,0.6237393428198579,Tinggi,-0.10821847100954074,-0.09323061652127929
IDN.1.1_1,AcehBaratDaya,0.01796651694569212,0.04735231098867462,0.7316618637152883,0.5200558594414482,2,0.5316956154474017,Sedang,-0.09215880543797861,-0.06987715769836467
IDN.1.3_1,AcehBesar,0.03389138423846468,0.029402458318120973,0.6409452801170444,0.5370574890773003,2,0.5316956154474017,Sedang,-0.06135694212417164,-0.09258414857813857
IDN.1.4_1,AcehJaya,0.043078807676602694,0.04915824915824916,0.7433944549056153,0.5787247824431668,1,0.6237393428198579,Tinggi,-0.12770283519060976,-0.028431879687579653
IDN.1.5_1,AcehSelatan,0.05532870559412005,0.031202554449786923,0.6880850172549634,0.493502717696721,2,0.5316956154474017,Sedang,-0.06784950285748692,-0.11298485329147223
IDN.1.6_1,AcehSingkil,0.061249489587586775,0.031645342312008974,0.9784051205126734,0.5630671387985107,1,0.6237393428198579,Tinggi,-0.2677541249662355,-0.0002453587265122126
IDN.1.7_1,AcehTamiang,0.0012249897917517355,0.10303030303030304,0.7670122174901949,0.7443728787627605,0,0.6213842200459655,Tinggi,-0.18211907200333433,0.13195049824695948
IDN.1.8_1,AcehTengah,0.022662311147407105,0.045445445445445445,0.636272116972067,0.5166301892998606,2,0.5316956154474017,Sedang,-0.037456202047704834,-0.09549652107221784
IDN.1.9_1,AcehTenggara,0.022662311147407105,0.04694998028331362,0.6085829243211042,0.5034752158177419,2,0.5316956154474017,Sedang,-0.014280668162598431,-0.10973217130849056
IDN.1.10_1,AcehTimur,0.02041649652919559,0.011919191919191921,0.6246813388549571,0.4494651033458309,2,0.5316956154474017,Sedang,-0.020535851810109196,-0.16687470397233062
IDN.1.11_1,AcehUtara,0.00551245406288281,0.013393191170968948,0.6470431053414505,0.5243252744800646,2,0.5316956154474017,Sedang,-0.06721877458466163,-0.10781319582018534
IDN.1.12_1,BandaAceh,0.0012249897917517355,0.004938271604938271,0.6105284076884311,0.5817940949078131,2,0.5316956154474017,Sedang,-0.07914921238116446,-0.08186647824032167
IDN.1.13_1,BenerMeriah,0.018783176806859946,0.003747621138925487,0.6166185064550715,0.451778796816995,2,0.5316956154474017,Sedang,-0.02230020124780363,-0.17250095484281402
IDN.1.14_1,Bireuen,0.008574928542262147,0.026390893057559726,0.6875590635976406,0.5422687649894049,2,0.5316956154474017,Sedang,-0.0906956870541582,-0.07783513682946508
IDN.1.15_1,GayoLues,0.04512045732952226,0.018736383442265796,0.6343311857558597,0.5143197624116189,2,0.5316956154474017,Sedang,-0.054517971800865705,-0.11818452335112084
IDN.1.16_1,Langsa,0.0002041649652919559,0.0033670033670033673,0.46384792499424093,0.5928396839002813,3,0.27979267982873623,Rendah,-0.0013600226891928857,-0.10823654589224319
IDN.1.17_1,Lhokseumawe,0.0002041649652919559,0.016835016835016835,0.4268915498549366,0.545606087337448,3,0.27979267982873623,Rendah,0.05138335222592294,-0.13979387504021323
IDN.1.18_1,NaganRaya,0.0639036341363822,0.02115510805606652,0.8942002207832269,0.5451975838674414,1,0.6237393428198579,Tinggi,-0.21804253498411907,-0.03890699684145715
IDN.1.20_1,Pidie,0.09963250306247448,0.008699011977700502,0.6801644847548644,0.5126259750119291,2,0.5316956154474017,Sedang,-0.09060558302925747,-0.12179198155522042
IDN.1.19_1,PidieJaya,0.031237239689669256,0.010329878303734512,0.8255005824002299,0.5605130045411366,1,0.6237393428198579,Tinggi,-0.1907697467548337,-0.04769527644252325
IDN.1.21_1,Sabang,0.013270722743977134,0.032167832167832165,0.5938313897115156,0.49647100205810446,2,0.5316956154474017,Sedang,-0.011531741527237127,-0.12693508236444462
IDN.1.22_1,Simeulue,0.21866067782768478,0.022983020368641284,0.7770568551764211,0.6211047060613261,1,0.6237393428198579,Tinggi,-0.1975347985835919,-0.02863257913196271
IDN.1.23_1,Subulussalam,0.0036749693752552064,0.06344930789375235,0.8407993070367612,0.4741541172307521,1,0.6237393428198579,Tinggi,-0.12098570835678535,-0.0643160966224382
IDN.2.1_1,Badung,0.08779093507554105,0.04285020750137029,0.7679415089217944,0.5484596281688403,1,0.6237393428198579,Tinggi,-0.1346934746872268,-0.05284250309567906
IDN.2.2_1,Bangli,0.008779093507554105,0.05247827108292225,0.5884558576916348,0.45394065563528224,2,0.5316956154474017,Sedang,0.025703811670199195,-0.14300133993777325
IDN.2.3_1,Buleleng,0.05389955083707636,0.025681052953780224,0.7819901997253342,0.4759375040374516,1,0.6237393428198579,Tinggi,-0.11676811946211729,-0.107540068520389
IDN.2.4_1,Denpasar,0.005104124132298897,0.0828821548821549,0.7157659237304801,0.5025573092548836,2,0.5316956154474017,Sedang,-0.0502493723274543,-0.05982276407232756
IDN.2.5_1,Gianyar,0.00449162923642303,0.08129782675237221,0.6308712919897641,0.49937578492688617,2,0.5316956154474017,Sedang,-0.0010746518245070558,-0.08211885148437292
IDN.2.6_1,Jembrana,0.007554103715802368,0.057093457093457096,0.5676306906198554,0.48441818558524935,2,0.5316956154474017,Sedang,0.026142737771193247,-0.1234713667783735
IDN.2.7_1,Karangasem,0.1365863617803185,0.017447016251201604,0.7501079848907195,0.4645751042263862,1,0.6237393428198579,Tinggi,-0.10456242844737718,-0.13708786694923208
IDN.2.8_1,Klungkung,0.03042057982850143,0.06942354190676339,0.7264979334517104,0.5312837600106698,2,0.5316956154474017,Sedang,-0.08093676048592224,-0.04960880981197313
IDN.2.9_1,Tabanan,0.01694569211923234,0.0833962111070545,0.5781613249798709,0.43946178432405136,2,0.5316956154474017,Sedang,0.058362218549337874,-0.1350381983918355
IDN.3.4_1,Bangka,0.0030624744793793387,0.171358024691358,0.7632757818090624,0.9045972096539217,0,0.6213842200459655,Tinggi,-0.21192865230927815,0.2875932660864148
IDN.3.1_1,BangkaBarat,0.002041649652919559,0.03151515151515151,0.7471418546246936,0.7568821267354968,0,0.6213842200459655,Tinggi,-0.2240056416166355,0.08716271849420909
IDN.3.2_1,BangkaSelatan,0.0008166598611678236,0.0606060606060606,0.6750244478431399,0.832528666793522,0,0.6213842200459655,Tinggi,-0.19970190153085254,0.1428846396340122
IDN.3.3_1,BangkaTengah,0.0004083299305839118,0.0,0.7193107767686852,0.9105199053213783,0,0.6213842200459655,Tinggi,-0.30249765031885056,0.1650789556169019
IDN.3.6_1,Belitung,0.0028583095140873828,0.126022126022126,0.7477816075043087,0.8356709053950512,0,0.6213842200459655,Tinggi,-0.19987183034923073,0.20584446763089503
IDN.3.5_1,BelitungTimur,0.004695794201714986,0.15473576343141562,0.7736099155274583,0.8588752821934098,0,0.6213842200459655,Tinggi,-0.2069933827909255,0.24699308288361677
IDN.3.7_1,Pangkalpinang,0.0,1.0,0.0,0.0,3,0.27979267982873623,Rendah,1.2069494237256047,0.06066977412849206
IDN.4.1_1,Cilegon,0.0012249897917517355,0.20650953984287318,0.5557324065449943,0.5945275841296974,4,0.5239242768736089,Rendah,0.07919687099421768,0.05215826591485473
IDN.4.2_1,KotaSerang,0.0008166598611678236,0.16936026936026935,0.4876894432951471,0.5871452873826631,4,0.5239242768736089,Rendah,0.09723985672229685,0.006466766732405871
IDN.4.3_1,KotaTangerang,0.0,1.0,0.0,0.0,3,0.27979267982873623,Rendah,1.2069494237256047,0.06066977412849206
IDN.4.4_1,Lebak,0.05430788076766027,0.06494012809802285,0.7705176236560962,0.5374153367886865,1,0.6237393428198579,Tinggi,-0.11382245920567824,-0.04114298126047944
IDN.4.5_1,Pandeglang,0.2356063699469171,0.026310476223821107,0.8754660507678925,0.6103913704436426,1,0.6237393428198579,Tinggi,-0.24783442991047488,-0.013417465038189857
IDN.4.6_1,Serang,0.006329113924050634,0.15381774736613446,0.6242393328524846,0.5940102489748195,4,0.5239242768736089,Rendah,0.005030161174179648,0.030689296893765206
IDN.4.8_1,Tangerang,0.0008166598611678236,0.2946127946127946,0.5011602460309665,0.5661808413086621,4,0.5239242768736089,Rendah,0.18226509741788216,0.08060440771469324
IDN.4.7_1,TangerangSelatan,0.0,1.0,0.0,0.0,3,0.27979267982873623,Rendah,1.2069494237256047,0.06066977412849206
IDN.5.4_1,Bengkulu,0.0034708044099632505,0.04432560903149139,0.7059341234061259,0.6064435529314088,2,0.5316956154474017,Sedang,-0.119819483725782,-0.016832621932375336
IDN.5.1_1,BengkuluSelatan,0.05492037566353614,0.044957630831236786,0.7497310005432924,0.6016572432157514,1,0.6237393428198579,Tinggi,-0.14598724589711964,-0.015406839449585097
IDN.5.2_1,BengkuluTengah,0.005104124132298897,0.060686868686868685,0.5796236568311317,0.5607518325264526,2,0.5316956154474017,Sedang,-0.014823056696038006,-0.06563170171105048
IDN.5.3_1,BengkuluUtara,0.26010616578195184,0.03439946297089154,0.889879143976653,0.6473254449740821,1,0.6237393428198579,Tinggi,-0.27028766206123933,0.018059424238728528
IDN.5.5_1,Kaur,0.07064107799101675,0.03488059788637824,0.8297366524795441,0.590049155935518,1,0.6237393428198579,Tinggi,-0.1940696196998507,-0.013963968511368496
IDN.5.6_1,Kepahiang,0.002449979583503471,0.03557800224466891,0.6368966029603401,0.5497355596989707,2,0.5316956154474017,Sedang,-0.058733491996432075,-0.07716816626087675
IDN.5.7_1,Lebong,0.007554103715802368,0.028555828555828555,0.5659187570791601,0.5157985623883501,2,0.5316956154474017,Sedang,-0.0067789858915641155,-0.12178692945871539
IDN.5.8_1,Mukomuko,0.049203756635361376,0.040988026880143066,0.8596301054824124,0.6014206464979925,1,0.6237393428198579,Tinggi,-0.21105015514608383,0.007059930570891493
IDN.5.9_1,RejangLebong,0.008370763576970192,0.03690564178369057,0.5692486123439531,0.5260252296730858,2,0.5316956154474017,Sedang,-0.00814497375391765,-0.10840285452213172
