cluster_label,risk_score,risk_level,count
3,0.004851914875630412,Rendah,52
4,0.21000790537327935,Rendah,89
2,0.2840653342179458,Sedang,199
1,0.33049645988484394,Tinggi,80
0,0.39184492290433476,Tinggi,82
