cluster,outlier_count,total,outlier_pct,mean_dist
0,0,43,0.0,0.0407
1,0,147,0.0,0.0616
2,0,176,0.0,0.0804
3,0,136,0.0,0.0656
ALL,0,502,0.0,0.0
