cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,38,57,66.67,0.3527
2,16,369,4.34,0.2193
3,10,43,23.26,0.4497
ALL,97,502,19.32,0.0
