cluster,outlier_count,total,outlier_pct,mean_dist
0,0,38,0.0,0.0472
1,0,85,0.0,0.1559
2,0,143,0.0,0.1308
3,0,112,0.0,0.1404
4,0,124,0.0,0.1463
ALL,0,502,0.0,0.0
