id_kabupaten,nama_kabupaten,frekuensi_gempa,depth_mean,mag_max,mag_mean,korban_total,rumah_rusak_total,fasum_rusak_total
IDN.9.13_1,Karawang,38.0,39.71052631578947,4.674041135,2.955214606263158,0.0,66.0,0.0
IDN.9.14_1,KotaBandung,3.0,27.0,3.465931236,3.0523581453333333,938.0,52570.0,2088.0
IDN.9.15_1,KotaBekasi,1.0,225.0,3.652374415,3.652374415,0.0,1.0,0.0
IDN.9.16_1,KotaBogor,7.0,11.142857142857142,3.91645634,2.616083063857143,31.0,4644.0,30.0
IDN.9.17_1,KotaCirebon,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.9.18_1,KotaSukabumi,2.0,67.0,3.8956786,3.4237802999999998,0.0,0.0,0.0
IDN.9.19_1,KotaTasikmalaya,6.0,37.166666666666664,3.168043857,2.9365629475,0.0,0.0,0.0
IDN.9.20_1,Kuningan,20.0,47.2,4.547556531,3.09738781485,0.0,1664.0,23.0
IDN.9.21_1,Majalengka,13.0,113.15384615384616,4.659679,3.4564341627692303,0.0,8168.0,157.0
IDN.9.22_1,Purwakarta,19.0,23.842105263157894,3.8625018,2.606882269157895,0.0,103.0,52.0
IDN.9.23_1,Subang,21.0,38.61904761904762,5.523181789,3.2234162846666665,0.0,141.0,50.0
IDN.9.24_1,Sukabumi,483.0,32.8944099378882,5.965892976,2.920138942567288,57.0,37350.0,1240.0
IDN.9.25_1,Sumedang,46.0,42.369565217391305,5.758387438,2.980448645043478,18.0,1353.0,62.0
IDN.9.26_1,Tasikmalaya,19.0,95.36842105263158,5.050740756,3.456598454052631,149.0,54476.0,3934.0
IDN.9.27_1,WadukCirata,11.0,28.0,4.8552644,2.825059321909091,0.0,0.0,0.0
IDN.10.1_1,Banjarnegara,44.0,21.613636363636363,4.419685039,2.6483200396136364,44.0,870.0,19.0
IDN.10.2_1,Banyumas,18.0,114.33333333333333,4.971885325,3.0702818985555553,1.0,252.0,14.0
IDN.10.3_1,Batang,13.0,32.38461538461539,3.537896031,2.499701669538461,14.0,273.0,29.0
IDN.10.4_1,Blora,7.0,98.28571428571429,5.0423411,3.446574121571428,0.0,0.0,0.0
IDN.10.5_1,Boyolali,9.0,34.111111111111114,5.304992418,3.083747767888889,304.0,766.0,3.0
IDN.10.6_1,Brebes,27.0,91.4074074074074,4.83752439,3.392252741407407,1.0,83.0,0.0
IDN.10.7_1,Cilacap,35.0,65.85714285714286,5.531612651,3.2316771939428572,10.0,5408.0,88.0
IDN.10.8_1,Demak,4.0,71.25,3.772788797,3.0720834845000002,0.0,0.0,0.0
