cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,34,40,85.0,0.2969
2,15,307,4.89,0.2209
3,6,81,7.41,0.1833
4,9,41,21.95,0.4231
ALL,97,502,19.32,0.0
