id_kabupaten,nama_kabupaten,luas_wilayah_km2,frekuensi_gempa,mag_max,mag_mean,depth_mean,cluster_label,risk_score,risk_level,PC1,PC2
IDN.1.2_1,AcehBarat,0.06327991466758061,0.14500683994528044,0.6954937932867185,0.5284007946444117,0.031299708783006634,2,0.25834684220986043,Sedang,0.06559629916592014,-0.14906805117907007
IDN.1.1_1,AcehBaratDaya,0.04247545586591918,0.022343821249430004,0.5758907864870849,0.524422533718211,0.08790597951242754,2,0.25834684220986043,Sedang,-0.015075206988279577,-0.01418565980876399
IDN.1.3_1,AcehBesar,0.06557949840450049,0.05471956224350205,0.6409452801170444,0.5478916620412031,0.04998378728923476,2,0.25834684220986043,Sedang,0.04303526682106118,-0.07992863434277535
IDN.1.4_1,AcehJaya,0.08714983686326687,0.04240766073871409,0.7433944549056153,0.555719101906122,0.0918371616250366,2,0.25834684220986043,Sedang,0.1290321528368189,-0.08264312207939306
IDN.1.5_1,AcehSelatan,0.09470253703253345,0.06292749658002736,0.6406680933181503,0.5001701734450483,0.06496362713584841,2,0.25834684220986043,Sedang,0.018456067043286617,-0.08619950017782604
IDN.1.6_1,AcehSingkil,0.042750055317338546,0.013679890560875513,0.6098998892778456,0.5282858484858323,0.10214007782101167,2,0.25834684220986043,Sedang,0.012993189784981873,-0.011628266420265168
IDN.1.7_1,AcehTamiang,0.04885886145772365,0.0013679890560875513,0.42907712059695974,0.5433500536116259,0.02529182879377432,2,0.25834684220986043,Sedang,-0.1126408741849585,-0.0009211100502464348
IDN.1.8_1,AcehTengah,0.1060205940111833,0.0506155950752394,0.636272116972067,0.5323756166752989,0.08023977284677673,2,0.25834684220986043,Sedang,0.04221874929650271,-0.06358501397518432
IDN.1.9_1,AcehTenggara,0.0939310911169624,0.0506155950752394,0.6085829243211042,0.5188197167977072,0.08241315245206296,2,0.25834684220986043,Sedang,0.012428114404847479,-0.05185885625143977
IDN.1.10_1,AcehTimur,0.12235315126348845,0.04103967168262654,0.6246813388549571,0.4459349613059772,0.032317336792044966,2,0.25834684220986043,Sedang,-0.03166759479110581,-0.11655970461738292
IDN.1.11_1,AcehUtara,0.06109918940894836,0.006839945280437756,0.5416232287740329,0.5065487309272559,0.043839169909208824,2,0.25834684220986043,Sedang,-0.056099698078865945,-0.03974181381312675
IDN.1.12_1,BandaAceh,0.0011401356441385875,0.00045599635202918376,0.4036187531849018,0.5315833392673237,0.019455252918287938,2,0.25834684220986043,Sedang,-0.14774890124477325,0.011348675398541813
IDN.1.13_1,BenerMeriah,0.043366863376475745,0.041951664386684906,0.6166185064550715,0.4655477371196999,0.020005075283369988,2,0.25834684220986043,Sedang,-0.040308075578359026,-0.1037659939818044
