cluster,outlier_count,total,outlier_pct,mean_dist
0,33,33,100.0,0.0
1,37,56,66.07,0.5919
2,12,313,3.83,0.5132
3,15,100,15.0,0.6033
ALL,97,502,19.32,0.0
