id_kabupaten,nama_kabupaten,luas_wilayah_km2,frekuensi_gempa,depth_mean,mag_max,mag_mean
IDN.1.10_1,AcehTimur,5464.141997701001,100.0,16.35,4.936355699,2.77895966542
IDN.1.11_1,AcehUtara,2732.93736929152,27.0,17.444444444444443,5.113062808,3.241806268148148
IDN.1.12_1,BandaAceh,59.47037712563131,6.0,11.166666666666666,4.824516433,3.5971253636666667
IDN.1.13_1,BenerMeriah,1942.2846593923073,92.0,10.282608695652174,4.8726416,2.7932648045434783
IDN.1.14_1,Bireuen,1783.8537314735304,42.0,27.095238095238095,5.433227937,3.352747553714286
IDN.1.15_1,GayoLues,5476.7300538436175,221.0,21.41176470588235,5.012610701,3.1799440362126696
IDN.1.16_1,Langsa,197.56423881003897,1.0,10.0,3.665418199,3.665418199
IDN.1.17_1,Lhokseumawe,139.26764336676695,1.0,20.0,3.373381601,3.373381601
IDN.1.18_1,NaganRaya,3441.0086586816305,313.0,23.207667731629392,7.0661473,3.3708558995431313
IDN.1.19_1,PidieJaya,974.3527321031429,153.0,15.169934640522875,6.523269147,3.465548315026144
IDN.1.1_1,AcehBaratDaya,1902.5383924583812,88.0,42.65909090909091,5.781737001,3.2154092640227274
IDN.1.20_1,Pidie,2998.2366253880004,488.0,13.959016393442623,5.37479451,3.1694716617602463
IDN.1.21_1,Sabang,126.04309257542461,65.0,31.384615384615383,4.692573289,3.069588449692308
IDN.1.22_1,Simeulue,1839.4521827306814,1071.0,24.564892623716155,6.140457217,3.840175607179271
IDN.1.23_1,Subulussalam,1154.8552080605743,18.0,54.611111111111114,6.6441627,2.931607275333333
IDN.1.2_1,AcehBarat,2830.1720091309735,479.0,21.227557411273487,5.5468882,3.320546688344468
IDN.1.3_1,AcehBesar,2932.706335981625,166.0,29.33132530120482,5.064876585,3.320527197879518
IDN.1.4_1,AcehJaya,3894.4891570641635,211.0,44.0,5.874450261,3.578148371957346
IDN.1.5_1,AcehSelatan,4231.250552323384,271.0,30.66789667896679,5.437384127,3.0512360960738008
IDN.1.6_1,AcehSingkil,1914.7822909747954,300.0,30.996666666666666,7.7315511,3.4813400550933338
IDN.1.7_1,AcehTamiang,2187.1630333714506,6.0,84.0,6.0610825,4.602319937
IDN.1.8_1,AcehTengah,4735.902474726335,111.0,41.24324324324324,5.027948324,3.1942289786576574
IDN.1.9_1,AcehTenggara,4196.853158401686,111.0,42.36036036036036,4.809142838,3.112894208873874
IDN.10.10_1,Jepara,1038.2164170281587,73.0,320.13698630136986,6.539773691,4.593715238890411
IDN.10.11_1,Karanganyar,817.4632576749505,3.0,158.0,3.645192434,3.1857761823333335
IDN.10.12_1,Kebumen,1356.3420858566808,123.0,39.796747967479675,5.017900738,3.5645704138536582
IDN.10.13_1,Kendal,1015.327286800667,12.0,63.166666666666664,7.89469772,3.326657142
IDN.10.14_1,Klaten,713.3445579964126,8.0,13.75,3.778510623,2.6193850041249997
IDN.10.16_1,KotaPekalongan,46.64601746262052,1.0,557.0,3.747676564,3.747676564
IDN.10.17_1,KotaSemarang,392.06156187172644,1.0,10.0,5.706508748,5.706508748
IDN.10.19_1,Kudus,442.1033896893817,1.0,10.0,4.282437535,4.282437535
IDN.10.1_1,Banjarnegara,1168.0788766614808,44.0,21.613636363636363,4.419685039,2.6483200396136364
IDN.10.20_1,Magelang,1150.4415072611175,5.0,76.2,4.130889149,3.0203774236
IDN.10.21_1,Pati,1604.932258865648,15.0,141.26666666666668,5.286002875,3.860561765066667
IDN.10.22_1,Pekalongan,907.0081933548472,5.0,11.4,3.171766582,2.6987364962
IDN.10.23_1,Pemalang,1154.2335738077047,8.0,253.75,5.543466368,4.042634711875
IDN.10.24_1,Purbalingga,821.6433887823538,3.0,37.0,3.2940839,2.5457681846666667
IDN.10.25_1,Purworejo,1109.8570020123411,26.0,69.84615384615384,5.334478719,3.065219335346154
IDN.10.26_1,Rembang,1053.313386626126,10.0,193.5,5.796768908,4.1761632352
IDN.10.27_1,Salatiga,54.02139999181462,2.0,14.5,3.443282302,3.1448574575
IDN.10.28_1,Semarang,1039.7276028202825,35.0,22.685714285714287,3.808764211,2.937534852857143
IDN.10.29_1,Sragen,994.2676556630475,2.0,120.5,4.832723487,3.8698078435000003
IDN.10.2_1,Banyumas,1413.08661904679,18.0,114.33333333333333,4.971885325,3.0702818985555553
IDN.10.30_1,Sukoharjo,502.4005476608162,5.0,61.0,3.042954216,2.5572887318
IDN.10.31_1,Surakarta,47.13162722306257,1.0,177.0,2.396542042,2.396542042
IDN.10.32_1,Tegal,1009.2461850025516,7.0,149.14285714285714,4.5520213,2.968674801428572
IDN.10.33_1,Temanggung,887.1978696696915,10.0,35.6,3.817707984,2.9607574658
IDN.10.35_1,Wonogiri,1960.0920162890532,16.0,67.3125,5.427623123,3.4184786714375
IDN.10.36_1,Wonosobo,1010.9495473841749,11.0,32.0,4.758375995,2.8180436848181816
IDN.10.3_1,Batang,872.1604912686018,16.0,51.0,5.469357966,2.9802794805
IDN.10.4_1,Blora,1979.19184125333,8.0,88.0,5.0423411,3.33403942475
IDN.10.5_1,Boyolali,1106.1556459480523,9.0,34.111111111111114,5.304992418,3.083747767888889
IDN.10.6_1,Brebes,1778.2020421299108,32.0,95.15625,4.838821324,3.527458431375
IDN.10.7_1,Cilacap,2385.8141857508363,495.0,38.13333333333333,6.235359714,3.5448695772929293
IDN.10.8_1,Demak,1014.2728411302497,5.0,59.0,3.772788797,3.0293319106
IDN.10.9_1,Grobogan,2061.796871270413,1.0,11.0,3.630599626,3.630599626
IDN.11.10_1,Kediri,1552.165219671419,23.0,64.30434782608695,4.786002333,3.3232756860434782
IDN.11.12_1,KotaKediri,70.11977222410545,2.0,10.0,2.616392108,2.4203789694999998
IDN.11.16_1,KotaPasuruan,39.251238921867845,1.0,10.0,3.1407186,3.1407186
IDN.11.18_1,Lamongan,1776.9359496408192,12.0,125.16666666666667,5.698094134,3.7699395113333334
IDN.11.19_1,Lumajang,1847.5438736351155,25.0,31.4,4.708341739,2.88593193008
IDN.11.1_1,Bangkalan,1319.9787681659504,14.0,476.2142857142857,4.732708352,4.022377015571428
IDN.11.20_1,Madiun,1137.6370316502723,28.0,31.428571428571427,4.18603409,2.95030362925
IDN.11.21_1,Magetan,714.4645924449873,7.0,59.285714285714285,3.3013264,2.745540947
IDN.11.22_1,Malang,3525.368199563723,930.0,35.73548387096774,6.273287894,3.752890366721505
IDN.11.23_1,Mojokerto,991.5152644972029,4.0,106.0,4.582403207,3.37532742525
IDN.11.24_1,Nganjuk,1313.232348984681,39.0,22.82051282051282,4.095326804,2.633171929820513
IDN.11.25_1,Ngawi,1417.3197320775664,17.0,44.88235294117647,5.053441668,3.308960165764706
IDN.11.26_1,Pacitan,1448.2610475130348,364.0,35.002747252747255,5.62716379,3.3894325604175823
IDN.11.27_1,Pamekasan,810.1720377638022,2.0,12.0,3.44410767,3.166712039
IDN.11.28_1,Pasuruan,1515.6315572450549,14.0,46.07142857142857,4.455640573,2.8353735222142857
IDN.11.29_1,Ponorogo,1443.8312599777287,25.0,59.52,4.59315922,3.18671550716
IDN.11.2_1,Banyuwangi,3679.5591454569276,1316.0,29.448328267477205,6.749751742,3.63036727899924
IDN.11.30_1,Probolinggo,1756.1960522368852,31.0,29.903225806451612,4.659686901,2.9284033013870965
IDN.11.31_1,Sampang,1242.6591162198276,12.0,11.25,7.003433245,3.892053938083333
IDN.11.32_1,Sidoarjo,732.3297488034726,1.0,10.0,3.998160612,3.998160612
IDN.11.33_1,Situbondo,1693.1341904799767,86.0,20.313953488372093,5.771456141,2.9406317945348834
IDN.11.34_1,Sumenep,2109.457703389967,294.0,97.64625850340136,6.833715042,3.5263536774353743
IDN.11.35_1,Surabaya,335.8698624692944,1.0,13.0,2.228503456,2.228503456
IDN.11.36_1,Trenggalek,1273.1769419407813,668.0,34.212574850299404,5.9351066,3.632835344101796
IDN.11.37_1,Tuban,2007.7232403746693,31.0,77.35483870967742,6.910809748,3.5101570399677415
IDN.11.38_1,Tulungagung,1174.5343445766146,25.0,86.32,5.203889352,3.2258543395599997
IDN.11.3_1,Batu,199.93459994399282,3.0,11.0,3.270456317,2.9974933129999997
IDN.11.4_1,Blitar,1789.7106204792813,111.0,65.2072072072072,4.9676253,3.4599389610540543
IDN.11.5_1,Bojonegoro,2350.2321092987695,59.0,26.610169491525422,5.633583364,2.8425596042033896
IDN.11.6_1,Bondowoso,1584.9419218814003,54.0,15.203703703703704,3.6101845,2.7169160835555553
IDN.11.7_1,Gresik,1249.0029746431546,216.0,67.74537037037037,6.21720951,3.9623141538935185
